,word,depth,close,open
0,Het,0,0,1
1,was,0,0,0
2,heerlijk,0,0,0
3,buiten,0,0,0
4,op,1,0,1
5,het,2,0,1
6,land,2,3,0
7,Het,0,0,1
8,was,0,0,0
9,zomer,0,1,0
10,Het,1,0,2
11,koren,1,1,0
12,was,0,0,0
13,rijp,0,1,0
14,Het,1,0,2
15,hooi,1,1,0
16,stond,0,0,0
17,op,1,0,1
18,de,2,0,1
19,groene,2,0,0
20,weiden,2,0,0
21,an,3,0,1
22,oppers,3,4,0
23,En,1,0,2
24,de,4,0,3
25,ooievaar,4,1,0
26,liep,3,0,0
27,op,4,0,1
28,zijn,5,0,1
29,lange,5,0,0
30,rode,5,0,0
31,poten,5,3,0
32,en,2,0,0
33,praatte,2,2,0
34,Egyptisch,1,0,1
35,want,1,0,0
36,deze,2,0,1
37,taal,2,2,0
38,had,1,0,1
39,hij,1,0,0
40,van,3,0,2
41,zijn,4,0,1
42,moeder,4,2,0
43,geleerd,2,3,0
44,Rondom,1,0,2
45,de,3,0,2
46,korenvelden,3,1,0
47,en,2,0,0
48,de,3,0,1
49,weiden,3,3,0
50,waren,0,0,0
51,uitgestrekte,1,0,1
52,bossen,1,2,0
53,En,0,0,1
54,midden,1,0,1
55,in,1,0,0
56,de,2,0,1
57,bossen,2,0,0
58,diepe,3,0,1
59,meren,3,4,0
60,Ja,0,0,1
61,het,1,0,1
62,was,1,0,0
63,werkelijk,2,0,1
64,heerlijk,2,1,0
65,daar,1,0,0
66,buiten,1,0,0
67,op,2,0,1
68,het,3,0,1
69,land,3,4,0
70,Door,2,0,2
71,de,3,0,1
72,glans,3,0,0
73,der,4,0,1
74,zon,4,1,0
75,beschenen,3,2,0
76,stond,1,0,0
77,daar,1,0,0
78,een,2,0,1
79,oud,2,0,0
80,kasteel,2,0,0
81,",",0,0,1
82,dat,3,0,1
83,door,6,0,3
84,een,7,0,1
85,diepe,7,0,0
86,gracht,7,2,0
87,omgeven,5,1,0
88,was,4,5,0
89,En,0,0,1
90,van,2,0,2
91,de,3,0,1
92,muur,3,0,0
93,tot,4,0,1
94,aan,5,0,1
95,het,6,0,1
96,water,6,5,0
97,groeide,1,0,0
98,dicht,2,0,1
99,kreupelhout,2,3,0
100,Ter,1,0,2
101,midden,2,0,1
102,hiervan,2,2,0
103,zat,0,0,0
104,in,1,0,1
105,haar,2,0,1
106,nest,2,2,0
107,een,1,0,1
108,eend,1,0,0
109,die,2,0,1
110,haar,5,0,2
111,jongen,5,1,0
112,moest,3,0,1
113,uitbroeden,4,5,0
114,Maar,1,0,1
115,het,3,0,2
116,begon,3,0,0
117,haar,5,0,1
118,bijna,5,0,0
119,te,4,0,1
120,vervelen,5,3,0
121,zo,4,0,2
122,lang,4,1,0
123,duurde,3,0,0
124,het,3,0,0
125,",",0,0,1
126,eer,4,0,1
127,de,6,0,2
128,jongen,6,1,0
129,uitkwamen,5,6,0
130,Daarbij,0,0,1
131,kreeg,0,0,0
132,zij,0,0,0
133,zelden,0,0,0
134,bezoek,0,1,0
135,Want,0,0,1
136,de,2,0,2
137,andere,2,0,0
138,eenden,2,1,0
139,zwommen,1,0,0
140,liever,2,0,1
141,in,2,0,1
142,de,3,0,1
143,gracht,3,2,0
144,rond,1,0,0
145,dan,3,0,1
146,dat,4,0,1
147,zij,5,0,1
148,eens,5,0,0
149,uit,6,0,1
150,het,7,0,1
151,water,7,2,0
152,kwamen,5,0,0
153,om,6,0,1
154,met,9,0,2
155,haar,9,1,0
156,te,7,0,1
157,praten,8,9,0
158,Eindelijk,0,0,1
159,ging,0,0,0
160,het,1,0,1
161,ene,1,0,0
162,ei,1,1,0
163,na,1,0,1
164,het,2,0,1
165,andere,2,2,0
166,open,0,1,0
167,Een,1,0,2
168,gepiep,1,1,0
169,deed,0,0,0
170,zich,1,0,1
171,horen,1,2,0
172,En,0,0,1
173,al,4,0,4
174,de,4,1,0
175,doren,3,0,0
