,word,depth,close,open
0,Wacht,0,0,1
1,eens,0,1,0
2,Zet,0,0,1
3,je,0,0,0
4,poten,0,0,0
5,niet,0,0,0
6,zo,1,0,1
7,binnenwaarts,1,2,0
8,Een,2,0,3
9,welopgevoed,2,0,0
10,eendje,2,1,0
11,zet,1,0,0
12,zijn,2,0,1
13,poten,2,2,0
14,buitenwaarts,1,0,1
15,evenals,2,0,1
16,vader,3,0,1
17,en,3,0,0
18,moeder,3,2,0
19,doen,1,2,0
20,Ziet,0,0,1
21,eens,0,1,0
22,Zo,-1,0,0
23,Buigt,1,0,2
24,je,2,0,1
25,hals,2,1,0
26,nu,1,1,0
27,en,0,0,0
28,zegt,1,0,1
29,kwak,1,2,0
30,En,0,0,1
31,dat,1,0,1
32,deden,1,0,0
33,zij,1,2,0
34,Maar,2,0,2
35,de,5,0,3
36,andere,5,0,0
37,eenden,5,0,0
38,in,6,0,1
39,de,7,0,1
40,rondte,7,3,0
41,bekeken,4,0,0
42,ze,4,1,0
43,en,3,0,0
44,zeiden,4,0,1
45,tegen,5,0,1
46,elkaar,5,4,0
47,kijk,3,0,2
48,eens,3,1,0
49,",",0,0,1
50,Nu,4,0,1
51,moeten,3,0,1
52,wij,3,0,0
53,nog,4,0,0
54,het,5,0,1
55,aanhangsel,5,1,0
56,krijgen,4,0,0
57,",",0,0,0
58,alsof,5,0,1
59,wij,6,0,1
60,al,6,0,0
61,niet,6,0,0
62,talrijk,7,0,1
63,genoeg,7,1,0
64,waren,6,7,0
65,En,0,0,1
66,foei,0,1,0
67,Wat,0,0,1
68,ziet,1,0,1
69,dat,2,0,1
70,ene,2,0,0
71,eendje,2,1,0
72,er,1,0,0
73,uit,1,2,0
74,Dat,1,0,1
75,willen,0,0,1
76,wij,0,0,0
77,hier,1,0,0
78,niet,1,0,0
79,hebben,1,2,0
80,En,0,0,1
81,terstond,2,0,2
82,vloog,2,0,0
83,er,2,0,0
84,een,3,0,1
85,oude,3,0,0
86,eend,3,1,0
87,naar,3,0,1
88,het,4,0,1
89,arme,4,0,0
90,beest,4,1,0
91,toe,3,2,0
92,en,1,0,0
93,beet,2,0,1
94,het,2,0,0
95,in,3,0,1
96,de,4,0,1
97,nek,4,5,0
98,Wil,0,0,1
99,je,0,0,0
100,dat,1,0,1
101,nu,1,0,0
102,wel,1,0,0
103,eens,1,0,0
104,laten,1,2,0
105,zei,0,0,1
106,de,1,0,1
107,moeder,1,2,0
108,Het,0,0,1
109,doet,0,0,0
110,immers,0,0,0
111,niemand,0,0,0
112,kwaad,0,1,0
113,Dat,3,0,3
114,is,3,0,0
115,wel,3,0,0
116,mogelijk,3,1,0
117,maar,2,0,0
118,het,4,0,2
119,is,4,0,0
120,te,5,0,1
121,groot,5,2,0
122,en,3,0,0
123,ziet,4,0,1
124,er,4,0,0
125,zo,5,0,1
126,vreemd,5,1,0
127,uit,4,3,0
128,",",0,0,1
129,zei,2,0,1
130,de,3,0,1
131,andere,3,0,0
132,eend,3,4,0
133,En,0,0,1
134,daarom,2,0,1
135,moet,1,0,1
136,het,1,0,0
137,eens,2,0,0
138,een,3,0,1
139,pikje,3,1,0
140,hebben,2,3,0
141,Het,1,0,2
142,zijn,1,0,0
143,lieve,2,0,1
144,kinderen,2,0,0
145,die,3,0,1
146,de,5,0,2
147,moeder,5,1,0
148,heeft,4,4,0
149,zei,1,0,1
150,de,2,0,1
151,oude,2,0,0
152,eend,2,0,0
153,met,3,0,1
154,het,4,0,1
155,lapje,4,0,0
156,om,5,0,1
157,de,6,0,1
158,poot,6,7,0
159,Zij,0,0,1
160,zijn,0,0,0
161,allemaal,0,0,0
162,mooi,0,0,0
163,behalve,1,0,1
164,dat,2,0,1
165,ene,2,3,0
166,Dat,0,0,1
167,is,0,0,0
168,mislukt,0,1,0
169,Ik,0,0,1
170,zou,0,0,0
171,wel,1,0,1
172,willen,1,0,0
173,dat,2,0,1
174,je,3,0,1
175,dat,4,0,1
176,eens,4,0,0
177,wat,5,0,1
178,anders,5,1,0
179,kon,3,0,0
180,maken,4,5,0
181,Dat,1,0,2
182,gaat,1,0,0
183,immers,1,0,0
184,niet,1,1,0
185,zei,1,0,1
186,de,2,0,1
187,moeder,2,0,0
188,van,3,0,1
189,het,4,0,1
190,eendje,4,5,0
191,Het,1,0,2
192,is,1,0,0
193,wel,1,0,0
194,niet,1,0,0
195,mooi,1,1,0
196,maar,0,0,0
197,het,2,0,2
198,heeft,2,0,0
199,een,3,0,1
200,goed,3,0,0
201,hart,3,2,0
202,en,1,0,0
203,zwemt,2,0,1
204,even,3,0,1
205,flink,2,0,0
206,als,4,0,1
207,al,6,0,2
208,de,6,1,0
209,anderen,5,6,0
210,Ja,1,0,1
211,ik,3,0,2
212,moet,3,0,0
213,zeggen,3,1,0
214,",",0,0,1
215,nog,3,0,1
216,beter,3,4,0
217,Ik,0,0,1
218,denk,0,0,0
219,wel,0,0,0
220,dat,1,0,1
221,het,4,0,3
222,goed,4,1,0
223,zal,3,0,0
224,opgroeien,3,1,0
225,en,2,0,0
226,mettertijd,3,0,1
227,wat,3,0,0
228,kleiner,3,0,0
229,worden,3,4,0
230,Het,0,0,1
231,heeft,0,0,0
232,te,2,0,2
233,lang,2,1,0
234,in,2,0,1
235,het,3,0,1
236,ei,3,2,0
237,gezeten,1,2,0
238,En,0,0,1
239,daardoor,2,0,1
240,is,1,0,1
241,het,1,0,0
242,wat,3,0,1
243,mismaakt,3,1,0
244,geworden,2,3,0
245,Dit,2,0,3
246,zeggende,2,1,0
247,pakte,1,0,0
248,zij,1,0,0
249,het,1,0,0
250,beet,1,1,0
251,en,0,0,0
252,streek,1,0,1
253,zijn,2,0,1
254,veren,2,1,0
255,glad,1,2,0
256,Bovendien,1,0,2
257,is,1,0,0
258,het,1,0,0
259,een,2,0,1
260,woerd,2,2,0
261,zeide,1,0,1
262,zij,1,2,0
263,En,0,0,1
264,daarom,1,0,1
265,doet,1,0,0
266,het,1,0,0
267,er,1,0,0
268,zo,2,0,1
269,veel,2,1,0
270,niet,1,0,0
271,toe,1,2,0
272,Ik,0,0,1
273,denk,0,0,0
274,dat,1,0,1
275,het,2,0,1
276,wel,3,0,1
277,krachtig,3,0,0
278,zal,2,0,0
279,worden,3,4,0
280,Het,0,0,1
281,weet,0,0,0
282,zich,2,0,1
283,ten,1,0,1
284,minste,1,1,0
285,nu,0,0,0
286,al,1,0,1
287,goed,1,1,0
288,te,1,0,1
289,verweren,2,3,0
290,De,2,0,3
291,andere,2,0,0
292,eendjes,2,1,0
293,zien,1,0,0
294,er,1,0,0
295,allerliefst,1,0,0
296,uit,1,1,0
297,zei,1,0,1
298,de,2,0,1
299,oude,2,0,0
300,eend,2,3,0
301,Doe,0,0,1
302,maar,0,0,0
303,alsof,1,0,1
304,je,2,0,1
305,thuis,2,0,0
306,waart,2,3,0
307,En,0,0,1
308,als,2,0,2
309,je,3,0,1
310,een,4,0,1
311,palingkop,4,1,0
312,vindt,3,2,0
313,dan,3,0,1
314,kun,2,0,1
315,je,2,0,0
316,die,3,0,0
317,wel,3,0,0
318,aan,4,0,1
319,mij,4,1,0
320,brengen,3,4,0
321,En,0,0,1
322,zo,1,0,1
323,waren,1,0,0
324,zij,1,0,0
325,er,1,0,0
326,dan,1,0,0
327,zo,3,0,1
328,goed,2,0,1
329,als,4,0,1
330,thuis,4,5,0
331,Maar,1,0,1
332,het,3,0,2
333,arme,3,0,0
334,eendje,3,0,0
335,dat,4,0,1
336,het,8,0,4
337,laatst,8,1,0
338,uit,8,0,1
339,het,9,0,1
340,ei,9,2,0
341,gekomen,7,1,0
342,was,6,1,0
343,en,5,0,0
344,er,6,0,1
345,zo,7,0,1
346,lelijk,7,1,0
347,uitzag,6,4,0
348,",",0,0,1
349,werd,2,0,0
350,gebeten,3,0,1
351,",",0,0,0
352,gestoten,3,0,0
353,en,3,0,0
354,voor,5,0,2
355,de,5,0,0
356,gek,5,1,0
357,gehouden,4,5,0
358,En,0,0,1
359,dat,1,0,1
360,zowel,2,0,1
361,door,3,0,1
362,de,4,0,1
363,eenden,4,2,0
364,als,2,0,0
365,door,3,0,1
366,de,4,0,1
367,kippen,4,5,0
368,Het,1,0,2
369,is,1,0,0
370,te,2,0,1
371,groot,2,2,0
372,zeiden,1,0,1
373,allen,1,2,0
374,En,1,0,1
375,de,4,0,3
