,word,onset,offset
0,Goddank,0.62,1.27
1,zei,1.66,1.78
2,het,1.78,1.92
3,eendje,1.92,2.22
4,met,2.22,2.35
5,een,2.35,2.45
6,zucht,2.45,2.69
7,Ik,3.51,3.65499
8,ben,3.65499,3.82
9,zo,3.82,4.05
10,lelijk,4.05,4.37
11,dat,4.73,4.91
12,de,4.91,4.95
13,hond,4.95,5.24499
14,mij,5.24499,5.41
15,zelfs,5.41,5.62
16,niet,5.62,5.76
17,wil,5.76,5.92
18,bijten,5.92,6.34
19,En,7.43,7.62
20,zo,7.62,7.93
21,bleef,7.99,8.2
22,het,8.2,8.29
23,roerloos,8.29,8.83
24,liggen,8.83,9.14
25,terwijl,9.5,9.68
26,de,9.68,9.75
27,hagel,9.75,10.25
28,door,10.25,10.42
29,het,10.42,10.54
30,riet,10.54,10.75
31,snorde,10.75,11.22
32,en,11.48,11.58
33,er,11.58,11.66
34,schot,11.66,11.97
35,op,12.16,12.28
36,schot,12.28,12.63
37,knalde,12.69,13.1
38,Eerst,14.14,14.35
39,laat,14.35,14.61
40,op,14.61,14.76
41,de,14.76,14.8
42,dag,14.8,15.09
43,werd,15.09,15.23
44,het,15.23,15.34
45,stil,15.34,15.65
46,Maar,16.22,16.35
47,het,16.35,16.44
48,arme,16.44,16.73499
49,eendje,16.73499,17.11
50,durfde,17.11,17.43
51,nog,17.43,17.55
52,niet,17.55,17.71
53,opstaan,17.71,18.17
54,Het,18.68,18.83
55,wachtte,18.83,19.1
56,nog,19.1,19.22
57,verscheidene,19.22,19.80499
58,uren,19.80499,20.15
59,voordat,20.4,20.77
60,het,20.77,20.87
61,omkeek,20.87,21.36
62,En,21.66,21.82
63,toen,21.88,22.12
64,snelde,22.12,22.55
65,het,22.55,22.59
66,uit,22.59,22.75
67,het,22.75,22.87
68,moeras,22.87,23.25
69,weg,23.25,23.53
70,zo,23.9,24.03
71,vlug,24.03,24.36
72,als,24.36,24.46
73,het,24.46,24.54
74,maar,24.54,24.64
75,kon,24.64,24.92
76,Het,25.68,25.85
77,liep,25.85,26.12
78,over,26.12,26.46
79,veld,26.46,26.82
80,en,26.82,27.01
81,weide,27.01,27.37
82,Maar,27.81,28.06
83,er,28.06,28.11
84,woei,28.11,28.31
85,zulk,28.31,28.67
86,een,28.67,28.75
87,hevige,28.85,29.24
88,storm,29.24,29.61
89,dat,29.95,30.11
90,het,30.11,30.25
91,werk,30.25,30.51
92,had,30.51,30.7
93,om,30.87,31.01
94,op,31.01,31.09
95,zijn,31.09,31.28
96,poten,31.28,31.56
97,te,31.63,31.71
98,blijven,31.71,32.02
99,staan,32.02,32.32
100,Tegen,33.58,33.86
101,de,33.86,33.9
102,avond,33.9,34.26
