,word,onset,offset
0,Het,1.8,1.94
1,werd,1.94,2.09
2,alles,2.09,2.37
3,volbracht,2.37,2.94
4,En,3.24,3.37
5,de,3.37,3.4
6,koningszoon,3.4,4.09
7,voerde,4.09,4.48
8,de,4.48,4.51
9,schone,4.51,4.85
10,jonkvrouw,4.85,5.36
11,op,5.36,5.47
12,het,5.47,5.5
13,gouden,5.5,6.0
14,paard,6.0,6.25
15,met,6.25,6.4
16,zich,6.4,6.58
17,mede,6.58,7.0
18,De,8.7,8.8
19,vos,8.8,9.07
20,bleef,9.07,9.26
21,bij,9.26,9.38
22,hen,9.38,10.14
23,en,10.14,10.64
24,zei,10.75,11.01
25,nu,11.01,11.15
26,zal,11.15,11.36
27,ik,11.36,11.44
28,je,11.44,11.54
29,ook,11.54,11.69
30,aan,11.69,11.79
31,de,11.79,11.82
32,gouden,11.82,12.15
33,vogel,12.15,12.57
34,helpen,12.57,13.08
35,Als,13.5,13.82
36,je,13.82,13.9
37,dicht,13.9,14.09
38,bij,14.09,14.23
39,het,14.23,14.29
40,slot,14.29,14.61
41,van,14.61,14.76
42,de,14.76,14.82
43,vogel,14.82,15.16
44,zult,15.16,15.39
45,zijn,15.39,15.87
46,laat,16.15,16.37
47,dan,16.37,16.57
48,de,16.57,16.6
49,jonkvrouw,16.6,17.04
50,afstijgen,17.04,17.79
51,Ik,17.93,18.08
52,zal,18.08,18.24
53,haar,18.24,18.44
54,bewaken,18.44,18.96
55,Rij,19.45,19.66
56,dan,19.66,19.92
57,met,19.92,20.09
58,het,20.09,20.18
59,gouden,20.18,20.56
60,paard,20.56,20.87
61,het,20.92,21.0
62,slotplein,21.0,21.61
63,op,21.61,21.84
64,Dat,22.74,22.97
65,gezicht,22.97,23.43
66,zal,23.43,23.68
67,bovenmatige,23.68,24.5
68,vreugde,24.5,24.89
69,geven,24.89,25.38
70,En,25.74,25.83
71,zij,25.83,25.97
72,zullen,25.97,26.32
73,de,26.32,26.39
74,gouden,26.39,26.7
75,vogel,26.7,27.1
76,buiten,27.1,27.44
77,brengen,27.44,27.84
78,Als,28.47,28.81
