,word,onset,offset
0,Hij,0.15,0.29
1,hoopte,0.29,0.73
2,dat,0.73,0.88
3,zijn,0.88,1.04
4,gelukszon,1.04,1.62
5,nog,1.62,1.73
6,klaarder,1.73,2.12
7,zou,2.12,2.28
8,gaan,2.28,2.42
9,schijnen,2.42,2.87
10,Tegen,4.04,4.26
11,zonsondergang,4.26,5.06
12,kwam,5.53,5.66
13,hij,5.66,5.74
14,bij,5.74,5.94
15,een,5.94,5.98
16,andere,5.98,6.26
17,kolenbrander,6.26,7.07
18,die,7.07,7.18
19,bij,7.18,7.46
20,het,7.46,7.5
21,vuur,7.5,7.72
22,zijn,7.72,7.85
23,avondmaal,7.85,8.36
24,klaar,8.36,8.65
25,maakte,8.65,9.08
26,Wil,12.18,12.31
27,je,12.31,12.44
28,met,12.44,12.61
29,mij,12.61,12.7
30,eten,12.7,13.13
31,zei,13.52,13.73
32,de,13.73,13.79
33,zwarte,13.79,14.12
34,gezel,14.12,14.56
35,Aardappelen,15.21,15.73
36,met,15.73,15.89
37,zout,15.89,16.25
38,maar,16.3,16.4
39,zonder,16.4,16.71
40,vet,16.71,17.07
41,Ga,17.7,17.82
42,dan,17.82,17.93
43,maar,17.93,18.02
44,zitten,18.02,18.35
45,Nee,19.97,20.36
46,zei,20.58,20.75
47,hij,20.75,21.03
48,Vandaag,21.42,21.89
49,moet,21.89,22.07
50,je,22.07,22.17
51,mijn,22.17,22.41
52,gast,22.41,22.65
53,zijn,22.65,23.01
54,En,23.42,23.54
55,hij,23.54,23.63
56,spreidde,23.63,24.1
57,zijn,24.1,24.22
58,kleedje,24.22,24.61
59,uit,24.61,24.97
60,En,24.97,25.08
61,’t,25.08,25.14
62,was,25.14,25.31
63,dadelijk,25.37,25.78
64,met,25.78,25.93
65,de,25.93,26.06
66,heerlijkste,26.06,26.6
67,gerechten,26.6,27.06
68,bezet,27.06,27.49
69,Zij,28.03,28.16
70,aten,28.16,28.61
71,en,28.61,28.79
72,dronken,28.79,29.11
73,samen,29.11,29.6
74,en,30.02,30.16
75,hadden,30.16,30.34
76,schik,30.34,30.66
77,Na,32.14,32.32
78,het,32.32,32.4
79,eten,32.4,32.66
80,zei,32.66,32.84
81,de,32.84,32.9
82,kolenbrander,32.9,33.63
83,ik,34.68,34.83
84,heb,34.83,34.89
85,een,34.95,35.01
86,oud,35.1,35.32
87,versleten,35.32,35.82
88,hoedje,35.82,36.18
89,dat,36.84,36.98
90,heeft,36.98,37.16
91,zeldzame,37.16,37.83
92,eigenschappen,37.83,38.56
93,Als,39.55,39.69
94,iemand,39.69,39.96499
95,het,39.96499,40.03998
96,opzet,40.11,40.71
97,en,41.05,41.19
98,op,41.19,41.3
99,zijn,41.3,41.5
100,hoofd,41.5,41.85
101,ronddraait,41.85,42.5
102,dan,42.88,43.0
103,schieten,43.0,43.41
104,de,43.41,43.51
105,kanonnen,43.56,43.98
106,of,43.98,44.3
107,er,44.3,44.36
108,twaalf,44.5,44.91
109,naast,44.98,45.25
110,elkander,45.25,45.67
111,waren,45.67,45.86
112,opgesteld,45.86,46.55
113,En,47.58,47.68
114,ze,47.68,47.79
115,schieten,47.79,48.1
116,alles,48.1,48.41
117,neer,48.41,48.72
118,dat,49.01,49.17
119,niemand,49.17,49.66
120,er,49.66,49.76
121,iets,49.76,49.95
122,aan,49.95,50.1
123,verhelpen,50.1,50.48
124,kan,50.48,50.82
125,Aan,52.06,52.17
126,het,52.17,52.26
127,hoedje,52.26,52.52
128,heb,52.52,52.77
129,ik,52.77,52.84
130,niets,52.89,53.21
131,En,53.62,53.74
132,ik,53.74,53.85
133,wil,53.85,53.95
134,het,53.95,54.04
135,graag,54.1,54.36499
136,geven,54.36499,54.68
137,voor,54.68,54.81
138,je,54.81,54.93
139,kleedje,54.93,55.44
140,Dat,56.77,56.97
141,geloof,57.03,57.32
142,ik,57.32,57.45
143,wel,57.45,57.76
144,zei,57.76,57.91
145,hij,57.91,58.21
146,nam,58.59,58.76
147,het,58.76,58.88
148,hoedje,58.88,59.21
149,en,59.53,59.61
150,liet,59.61,59.76
151,zijn,59.76,59.89
152,kleedje,59.94,60.27
153,achter,60.27,60.78
154,Maar,62.77,62.93
155,toen,63.02,63.27
156,hij,63.27,63.48
157,een,63.48,63.51
158,eindje,63.51,63.83
159,verder,63.83,64.13
160,was,64.13,64.44
161,klopte,64.44,64.79
162,hij,64.79,64.94
163,op,64.94,65.06
164,het,65.06,65.14
165,ranseltje,65.14,65.73
166,En,66.07,66.16
167,zijn,66.16,66.35
168,soldaten,66.35,67.06
169,moesten,67.3,67.58
170,toen,67.58,67.76
171,het,67.76,67.79
172,doekje,67.79,68.04
173,terughalen,68.04,68.76
174,Het,70.52,70.66
175,komt,70.66,70.89
176,alles,70.89,71.13
177,bij,71.13,71.21
178,elkaar,71.21,71.62
179,dacht,71.62,71.81
180,hij,71.81,72.09
181,En,72.51,72.65
182,’t,72.7,72.75
183,is,72.75,72.98
184,of,72.98,73.07
185,mijn,73.07,73.23
186,geluk,73.23,73.57
187,nog,73.65,73.76
188,niet,73.76,73.99
189,ten,73.99,74.09
190,einde,74.09,74.49
191,is,74.54,74.87
