,word,onset,offset
0,Het,0.38,0.51
1,arme,0.51,0.82
2,eendje,0.82,1.23
3,had,1.44,1.59
4,het,1.59,1.72
5,al,1.72,1.83
6,heel,1.83,2.12
7,slecht,2.12,2.56
8,Op,3.29,3.46
9,zekere,3.46,3.83
10,avond,3.83,4.28
11,juist,4.55,4.91
12,toen,4.91,5.1
13,de,5.1,5.13
14,zon,5.13,5.42
15,in,5.42,5.49
16,haar,5.49,5.64
17,pracht,5.72,6.02
18,onderging,6.02,6.53
19,kwam,6.94,7.11
20,er,7.11,7.19
21,een,7.19,7.26
22,hele,7.26,7.6
23,troep,7.71,7.95
24,grote,7.95,8.44
25,vogels,8.44,8.82
26,uit,8.82,8.92
27,het,8.92,9.05499
28,bos,9.05499,9.36
29,Het,10.01,10.12
30,eendje,10.12,10.46
31,had,10.55,10.79
32,er,10.79,10.89
33,nooit,10.89,11.19
34,zulke,11.19,11.5
35,mooie,11.5,11.83
36,gezien,11.83,12.25
37,Zij,12.9,13.01
38,waren,13.01,13.22
39,spierwit,13.22,14.06
40,en,14.33,14.41
41,hadden,14.41,14.73
42,lange,14.73,15.0
43,buigzame,15.28,15.79
44,halzen,15.79,16.26
45,Het,16.79,16.9
46,waren,16.9,17.12
47,zwanen,17.12,17.64
48,Zij,18.54,18.67
49,lieten,18.67,18.87
50,een,18.87,19.01
51,eigenaardig,19.01,19.72
52,geluid,19.72,20.09
53,horen,20.09,20.42
54,spreidden,20.75,21.21
55,hun,21.21,21.38
56,prachtige,21.38,21.94
57,lange,22.16,22.47
58,vleugels,22.47,22.92
59,uit,22.92,23.16
60,en,23.42,23.56
61,trokken,23.56,23.97
62,uit,24.08,24.3
63,de,24.3,24.34
64,koude,24.34,24.61
65,streken,24.61,25.09
66,naar,25.37,25.47
67,warmere,25.47,25.94
68,landen,25.94,26.33
69,Zij,27.09,27.18
70,stegen,27.18,27.51
71,zo,27.51,27.85
72,hoog,27.85,28.29
73,zo,28.64,29.01
74,hoog,29.01,29.42
75,dat,29.89,30.06
76,het,30.06,30.21
77,het,30.26,30.43
78,lelijke,30.43,30.78
79,jonge,30.78,31.04
80,eendje,31.04,31.42
81,wonderlijk,31.59,32.03
82,te,32.1,32.2
83,moede,32.2,32.46
84,werd,32.46,32.72
85,Het,33.52,33.69
86,draaide,33.69,34.16
87,zich,34.16,34.3
88,als,34.3,34.45
89,een,34.45,34.56
90,tol,34.68,34.99
91,in,34.99,35.05
92,het,35.05,35.12
93,water,35.12,35.45
94,rond,35.45,35.75
95,strekte,36.17,36.59
96,zijn,36.59,36.75
97,kop,36.81,37.02
98,hoog,37.02,37.42
99,in,37.42,37.49
100,de,37.49,37.59
101,lucht,37.59,37.79
102,naar,37.86,37.94
103,de,37.94,38.0
104,zwanen,38.0,38.41
105,uit,38.41,38.68
106,en,39.0,39.09
107,gaf,39.09,39.33
108,zulk,39.33,39.75
109,een,39.75,39.98
110,luiden,39.98,40.36499
111,en,40.36499,40.52
112,zonderlingen,40.52,41.01
113,schreeuw,41.01,41.39
114,dat,41.75,41.89
115,het,41.89,42.03
116,er,42.03,42.13
117,zelf,42.13,42.44
118,van,42.44,42.59
119,schrikte,42.59,43.04
120,Oh,44.91,45.36
121,het,45.36,45.46
122,kon,45.51,45.72
123,die,45.72,45.85
124,mooie,45.85,46.41
125,gelukkige,46.41,47.08
126,vogels,47.08,47.49
127,niet,47.49,47.69
128,vergeten,47.69,48.21
129,En,48.69,48.81
130,zodra,48.81,49.22
131,deze,49.22,49.49
132,niet,49.49,49.75
133,meer,49.75,49.88
134,te,49.88,49.98
135,zien,49.98,50.21
136,waren,50.21,50.55
137,dook,50.98,51.26
138,het,51.26,51.37
139,onder,51.37,51.76
140,tot,51.76,51.91
141,op,51.91,52.09
142,de,52.09,52.13
143,grond,52.13,52.45
144,En,52.9,52.97
145,toen,52.97,53.09
146,het,53.09,53.17
147,weer,53.17,53.3
148,boven,53.3,53.58
149,kwam,53.58,53.84
150,was,54.13,54.28
151,het,54.28,54.38
152,als,54.38,54.49
153,buiten,54.57,54.85
154,zichzelf,54.85,55.43
155,Het,56.24,56.4
156,arme,56.4,56.71
157,beest,56.71,57.02
158,wist,57.02,57.16
159,niet,57.16,57.41
160,hoe,57.49,57.64
161,die,57.64,57.74
162,vogels,57.74,58.11
163,heetten,58.11,58.52
164,en,58.84,58.94
165,ook,58.94,59.19
166,niet,59.19,59.35
167,waar,59.56,59.7
168,zij,59.7,59.79
169,naartoe,59.79,60.06
170,vlogen,60.06,60.52
171,Maar,61.08,61.22
172,toch,61.29,61.61
173,liep,61.66,61.85
174,het,61.85,62.01
175,er,62.01,62.08
176,hoog,62.08,62.40499
177,mee,62.40499,62.63
178,zoals,63.0,63.19
179,het,63.19,63.27
180,nog,63.27,63.39499
181,nooit,63.39499,63.73
182,ergens,63.73,64.01
183,mee,64.01,64.17
184,gedaan,64.17,64.52
185,had,64.52,64.69
186,Het,65.56,65.66
187,benijdde,65.66,66.09
188,ze,66.09,66.23
189,volstrekt,66.23,66.63
190,niet,66.74,66.93
191,Hoe,67.74,67.88
192,zou,67.88,68.13
