,word,depth,close,open
0,De,1,0,2
1,Ransel,1,1,0
2,het,1,0,1
3,Hoedje,1,1,0
4,en,0,0,0
5,het,1,0,1
6,Hoorntje,1,2,0
7,Er,0,0,1
8,waren,0,0,0
9,eens,0,0,0
10,drie,1,0,1
11,broers,1,0,0
12,die,2,0,1
13,langzamerhand,4,0,1
14,tot,5,0,1
15,armoede,5,1,0
16,waren,3,0,1
17,vervallen,4,5,0
18,Eindelijk,3,0,1
19,was,2,0,2
20,de,3,0,1
21,nood,3,1,0
22,zo,4,0,1
23,hoog,4,1,0
24,gestegen,3,2,0
25,dat,2,0,1
26,zij,4,0,2
27,niets,6,0,1
28,meer,4,0,0
29,te,5,0,1
30,eten,6,2,0
31,hadden,4,1,0
32,",",0,0,1
33,en,3,0,0
34,honger,5,0,1
35,moesten,4,0,1
36,lijden,5,6,0
37,Toen,1,0,2
38,zeiden,1,0,0
39,zij,1,1,0
40,zo,2,0,1
41,kan,1,0,1
42,het,1,0,0
43,niet,2,0,0
44,blijven,2,3,0
45,Wij,0,0,1
46,zullen,0,0,0
47,de,3,0,3
48,wereld,3,1,0
49,in,2,0,0
50,moeten,2,1,0
51,en,1,0,0
52,ons,3,0,2
53,geluk,3,1,0
54,zoeken,2,3,0
55,En,0,0,1
56,zij,1,0,1
57,trokken,1,0,0
58,weg,1,2,0
59,Op,2,0,2
60,verre,3,0,1
61,wegen,3,2,0
62,waren,0,0,1
63,zij,0,0,0
64,al,1,0,0
65,gegaan,1,2,0
66,En,0,0,1
67,veel,2,0,2
68,grassprietjes,2,1,0
69,hadden,1,0,0
70,zij,1,0,0
71,al,1,0,0
72,plat,2,0,1
73,getreden,2,3,0
74,Maar,0,0,1
75,het,3,0,2
76,geluk,3,1,0
77,hadden,1,0,1
78,zij,1,0,0
79,nog,3,0,1
80,niet,3,1,0
81,ontmoet,2,3,0
82,Op,1,0,2
83,een,2,0,1
84,dag,2,2,0
85,gebeurde,0,0,0
86,het,0,0,0
87,dat,1,0,1
88,zij,2,0,1
89,in,3,0,1
90,een,4,0,1
91,groot,4,0,0
92,bos,4,2,0
93,kwamen,2,3,0
94,En,0,0,1
95,midden,2,0,2
96,daarin,2,1,0
