,word,depth,close,open
0,Puis,0,0,1
1,",",0,0,0
2,ils,1,0,1
3,s’,1,1,0
4,en,2,0,2
5,furent,2,1,0
6,tous,2,0,1
7,trois,2,0,0
8,ensemble,2,2,0
9,",",0,0,0
10,et,1,0,1
11,parvinrent,1,0,0
12,dans,2,0,1
13,un,3,0,1
14,pays,3,0,0
15,en,4,0,1
16,proie,5,0,1
17,à,6,0,1
18,la,7,0,1
19,famine,7,1,0
20,et,7,0,1
21,à,8,0,1
22,la,9,0,1
23,guerre,9,9,0
24,",",0,0,0
25,et,1,0,1
26,dont,2,0,1
27,le,3,0,1
28,roi,3,1,0
29,se,3,0,1
30,croyait,3,1,0
31,déjà,2,0,0
32,près,4,0,2
33,de,4,1,0
34,succomber,3,0,0
35,dans,4,0,1
36,ce,5,0,1
37,péril,5,5,0
38,.,0,1,0
39,Le,1,0,2
40,prince,1,1,0
41,alla,0,0,0
42,chez,1,0,1
43,lui,1,1,0
44,aussitôt,0,0,0
45,et,1,0,1
46,lui,2,0,1
47,donna,2,1,0
48,le,2,0,1
49,pain,2,0,0
50,avec,4,0,2
51,lequel,4,1,0
52,fut,4,0,1
53,apaisée,4,1,0
54,la,4,0,1
55,faim,4,0,0
56,de,5,0,1
57,tout,6,0,1
58,le,6,0,0
59,royaume,6,6,0
60,;,0,0,0
61,ensuite,1,0,1
62,",",1,0,0
63,il,2,0,1
64,lui,2,0,0
65,donna,2,1,0
66,son,2,0,1
67,épée,2,1,0
68,",",1,0,0
69,et,2,0,1
70,le,3,0,1
71,roi,3,1,0
72,ayant,3,0,1
73,battu,3,1,0
74,l’,3,0,1
75,armée,3,0,0
76,de,4,0,1
77,ses,5,0,1
78,ennemis,5,3,0
79,",",2,0,0
80,put,3,0,1
81,vivre,4,0,1
82,désormais,4,0,0
83,en,5,0,1
84,liberté,5,0,0
85,et,6,0,1
86,en,7,0,1
87,paix,7,7,0
88,.,0,1,0
89,Alors,0,0,1
90,le,1,0,1
91,prince,1,1,0
92,reprit,0,0,0
93,son,1,0,1
94,épée,1,1,0
95,et,1,0,1
96,son,2,0,1
97,pain,2,1,0
98,",",1,0,0
99,et,2,0,1
100,les,4,0,2
101,trois,4,0,0
102,frères,4,1,0
103,continuèrent,3,0,0
104,leur,4,0,1
105,route,4,4,0
106,.,0,1,0
107,Ils,1,0,2
108,passèrent,1,1,0
109,encore,0,0,0
110,par,1,0,1
111,deux,2,0,1
112,pays,2,0,0
113,où,3,0,1
114,régnaient,3,0,0
115,la,4,0,1
116,disette,4,0,0
117,et,5,0,1
118,la,6,0,1
119,guerre,6,6,0
120,",",0,0,0
121,et,1,0,1
122,le,3,0,2
123,prince,3,1,0
124,prêta,2,0,0
125,à,3,0,1
126,chaque,4,0,1
127,roi,4,2,0
128,son,3,0,1
129,pain,3,0,0
130,et,4,0,1
131,son,5,0,1
132,épée,5,5,0
133,;,0,0,0
134,et,1,0,1
135,de,3,0,2
136,la,4,0,1
137,sorte,4,2,0
138,il,3,0,1
139,sauva,3,1,0
140,trois,3,0,1
141,pays,3,3,0
142,.,0,1,0
143,Après,1,0,2
144,ces,2,0,1
145,aventures,2,2,0
146,",",0,0,0
147,les,1,0,1
148,voyageurs,1,1,0
149,se,1,0,1
150,mirent,1,1,0
151,dans,1,0,1
152,un,2,0,1
153,vaisseau,2,2,0
154,pour,1,0,1
155,traverser,1,0,0
156,la,2,0,1
157,mer,2,2,0
158,.,0,1,0
159,Pendant,1,0,2
160,le,2,0,1
161,trajet,2,2,0
162,",",0,0,0
163,les,1,0,1
164,deux,1,0,0
165,aînés,1,1,0
166,se,1,0,1
167,dirent,1,1,0
168,entre,1,0,1
169,eux,1,1,0
170,:,0,0,0
171,--,1,0,1
172,C’,1,0,0
173,est,1,0,0
174,notre,2,0,1
175,jeune,2,0,0
176,frère,2,0,0
177,qui,3,0,1
178,a,4,0,1
179,trouvé,4,1,0
180,l',4,0,1
181,Eau,4,0,0
182,de,5,0,1
183,la,6,0,1
184,vie,6,5,0
185,",",1,0,0
186,et,2,0,1
187,non,3,0,1
188,pas,3,1,0
189,nous,2,2,0
190,;,0,0,0
191,et,1,0,1
192,pour,2,0,1
193,cela,2,1,0
194,",",1,0,0
195,notre,3,0,2
196,père,3,1,0
197,va,2,0,0
198,lui,4,0,2
199,donner,4,1,0
200,le,4,0,1
201,royaume,4,0,0
202,qui,5,0,1
