,word,depth,close,open
283,gat,4,1,0
284,niet,4,0,1
285,geheel,5,0,1
286,dicht,5,1,0
287,zou,3,0,0
288,gaan,4,5,0
289,Eindelijk,1,0,2
290,werd,1,0,0
291,het,1,0,0
292,moede,1,1,0
293,bleef,1,0,1
294,doodstil,2,0,1
295,liggen,2,2,0
296,en,0,0,0
297,vroor,1,0,1
298,in,2,0,1
299,het,3,0,1
300,ijs,3,2,0
301,vast,1,2,0
302,'s,2,0,3
303,Morgens,2,1,0
304,vroeg,1,1,0
305,kwam,0,0,0
306,er,0,0,0
307,een,1,0,1
308,boer,1,1,0
309,voorbij,0,1,0
310,Toen,3,0,3
311,hij,4,0,1
312,het,5,0,1
313,eendje,5,1,0
314,zag,4,2,0
315,ging,2,0,0
316,hij,2,0,0
317,er,3,0,1
318,heen,3,2,0
319,",",0,0,1
320,trapte,2,0,1
321,het,3,0,1
322,ijs,3,0,0
323,met,4,0,1
324,zijn,5,0,1
325,klomp,5,0,0
326,aan,6,0,1
327,stukken,6,5,0
328,en,1,0,0
329,bracht,2,0,1
330,het,3,0,1
331,dier,3,1,0
332,naar,3,0,1
333,zijn,4,0,1
334,vrouw,4,2,0
335,toe,2,3,0
336,Daar,1,0,1
337,kwam,0,0,1
338,het,0,0,0
339,weer,0,0,0
340,bij,1,2,0
341,De,1,0,2
342,kinderen,1,1,0
343,wilden,0,0,0
344,met,2,0,2
345,hem,2,1,0
346,spelen,1,2,0
347,Maar,0,0,1
348,het,3,0,3
349,eendje,3,1,0
350,dacht,2,0,0
351,dat,3,0,1
352,zij,4,0,1
353,hem,5,0,1
354,kwaad,5,0,0
355,wilden,4,0,0
356,doen,5,4,0
357,en,1,0,0
358,vloog,2,0,1
359,in,3,0,1
360,zijn,4,0,1
361,angst,4,0,0
362,juist,5,0,1
363,in,5,0,0
364,het,6,0,1
365,melkvat,6,4,0
366,zodat,3,0,1
367,de,5,0,2
368,melk,5,1,0
369,overal,4,0,0
370,in,5,0,1
371,de,6,0,1
372,kamer,6,2,0
373,rondspatte,4,5,0
374,De,1,0,2
375,vrouw,1,1,0
376,sloeg,0,0,0
377,de,1,0,1
378,handen,1,1,0
379,in,1,0,1
380,elkaar,1,2,0
381,Waarop,0,0,1
382,het,1,0,1
383,eerst,1,0,0
384,in,3,0,2
385,het,4,0,1
386,botervat,4,2,0
387,en,2,0,0
388,toen,3,0,1
389,in,3,0,0
390,de,4,0,1
391,meelton,4,3,0
392,vloog,1,2,0
393,Wat,0,0,1
394,zag,1,0,1
395,het,1,0,0
396,er,1,0,0
397,nu,1,0,0
398,uit,1,2,0
399,De,2,0,2
400,vrouw,2,1,0
401,schreeuwde,1,0,0
402,en,0,0,1
403,sloeg,0,1,0
404,met,2,0,1
405,de,3,0,1
406,tang,3,0,0
407,naar,4,0,1
408,het,5,0,1
409,arme,5,0,0
410,beest,5,5,0
411,De,1,0,2
412,kinderen,1,1,0
413,liepen,0,0,0
414,elkaar,0,0,0
415,omver,0,0,0
416,om,1,0,1
417,het,4,0,2
418,eendje,4,1,0
419,te,2,0,1
420,pakken,3,4,0
421,Zij,1,0,2
422,lachten,1,1,0
423,en,0,0,0
424,schreeuwden,0,1,0
425,Het,0,0,1
426,was,0,0,0
427,gelukkig,0,0,0
428,dat,2,0,2
429,de,4,0,2
430,deur,4,1,0
431,openstond,3,2,0
432,en,1,0,0
433,dat,2,0,1
434,het,3,0,1
435,tussen,5,0,2
436,de,6,0,1
437,takken,6,0,0
438,in,7,0,1
439,de,8,0,1
440,vers,9,0,1
441,gevallen,9,1,0
442,sneeuw,8,4,0
443,kon,3,0,0
444,sluipen,4,5,0
445,Daar,2,0,2
446,bleef,0,0,1
447,het,1,0,1
448,geheel,1,1,0
449,uitgeput,2,1,0
450,liggen,1,2,0
451,Maar,1,0,1
