,word,onset,offset
0,Toen,0.86,1.08
1,hij,1.08,1.14
2,aan,1.14,1.28
3,het,1.28,1.35
4,kasteel,1.35,1.74
5,kwam,1.74,2.19
6,ging,2.19,2.65
7,het,2.65,2.75
8,alles,2.75,3.13
9,zoals,3.13,3.41
10,de,3.41,3.45
11,vos,3.45,3.8
12,gezegd,3.8,4.24
13,had,4.24,4.56
14,Hij,4.56,5.24
15,vond,5.24,5.48
16,het,5.48,5.59
17,vertrek,5.59,6.02
18,waar,6.02,6.21
19,de,6.21,6.24
20,gouden,6.24,6.55
21,vogel,6.55,7.05
22,in,7.05,7.19
23,een,7.19,7.28
24,houten,7.28,7.56
25,kooi,7.56,7.83
26,zat,7.83,8.23
27,En,8.23,8.76
28,de,8.76,8.82
29,gouden,8.82,9.16
30,kooi,9.16,9.4
31,stond,9.4,9.72
32,ernaast,9.72,10.34
33,De,10.71,10.81
34,drie,10.81,10.97
35,gouden,10.97,11.26
36,appels,11.26,11.76
37,lagen,11.76,12.22
38,verspreid,12.22,12.74
39,in,12.74,12.91
40,de,12.91,13.0
41,kamer,13.0,13.48
42,Maar,14.51,14.64
43,hij,14.64,14.73
44,dacht,14.73,15.13
45,het,15.13,15.29
46,was,15.29,15.5
47,toch,15.5,15.62
48,te,15.62,15.75
49,mal,15.75,16.21
50,om,16.21,16.34
51,die,16.34,16.42
52,mooie,16.42,16.7
53,vogel,16.7,17.21
54,in,17.21,17.38
55,de,17.38,17.44
56,lelijke,17.44,17.79
57,kooi,17.79,18.07
58,te,18.07,18.17
59,laten,18.17,18.57
60,En,19.08,19.21
61,hij,19.21,19.29
62,deed,19.29,19.55
63,het,19.55,19.65
64,deurtje,19.65,19.94
65,open,19.94,20.5
66,pakte,20.61,20.94
67,de,20.94,21.0
68,vogel,21.0,21.55
69,en,21.55,21.73
70,zette,21.73,22.03
71,hem,22.03,22.19
72,in,22.19,22.25
73,de,22.25,22.31
74,gouden,22.31,22.69
75,kooi,22.69,22.96
76,Maar,23.7,24.0
77,op,24.0,24.06
78,dat,24.06,24.32
79,moment,24.32,24.66
80,gaf,24.66,24.86
81,de,24.86,24.95
82,vogel,24.95,25.32
83,een,25.32,25.44
84,doordringende,25.44,26.04
85,kreet,26.04,26.54
86,De,26.98,27.07
87,soldaten,27.07,27.57
88,ontwaakten,27.57,28.31
89,stormden,28.31,28.75
90,naar,28.75,28.88
91,binnen,28.88,29.14
92,en,29.14,29.34
93,brachten,29.34,29.64
94,hem,29.64,29.76
95,in,29.76,29.83
96,de,29.83,29.86
97,gevangenis,29.86,30.69
98,De,31.9,32.01
99,volgende,32.01,32.37
100,morgen,32.37,32.76
101,werd,32.76,32.94
102,er,32.94,32.98
103,gerecht,32.98,33.38
104,over,33.38,33.6
105,hem,33.6,33.74
106,gehouden,33.74,34.31
107,En,34.39,34.75
108,toen,34.75,34.9
109,hij,34.9,35.0
110,alles,35.0,35.22
111,bekende,35.22,35.79
112,werd,35.93,36.1
113,hij,36.1,36.25
114,ter,36.25,36.34
115,dood,36.34,36.63
116,veroordeeld,36.63,37.43
117,Maar,38.55,38.73
118,de,38.73,38.86
119,koning,38.86,39.39
120,wilde,39.6,39.83
121,hem,39.83,39.96
122,op,39.96,40.14
123,een,40.14,40.39
124,voorwaarde,40.39,41.02
125,het,41.02,41.12
126,leven,41.12,41.42
127,laten,41.42,41.74
128,behouden,41.74,42.21
129,Als,42.46,43.16
130,hij,43.16,43.28
131,namelijk,43.28,43.85
132,het,43.85,43.97
133,gouden,43.97,44.42
134,paard,44.42,44.73
135,bracht,44.73,45.33
136,dat,45.33,45.52
137,sneller,45.52,45.87
138,loopt,45.87,46.16
139,dan,46.16,46.28
140,de,46.28,46.34
141,wind,46.34,46.7
142,En,46.75,46.98
143,dan,46.98,47.16
144,zou,47.16,47.31
145,hij,47.31,47.47
146,nog,47.47,47.65
147,als,47.65,47.75
148,beloning,47.75,48.43
149,de,48.43,48.58
150,vogel,48.58,48.97
151,krijgen,48.97,49.46
152,De,52.15,52.26
153,prins,52.26,52.57
154,ging,52.57,52.7
155,op,52.7,52.8
156,weg,52.8,53.25
157,Maar,53.25,53.33
158,hij,53.33,53.48
159,zuchtte,53.48,53.88
160,en,53.88,54.05
161,was,54.05,54.22
162,droefgeestig,54.22,55.11
163,want,55.45,55.6
164,waar,55.6,55.9
165,zou,55.9,56.08
166,hij,56.08,56.23
167,het,56.23,56.32
168,gouden,56.32,56.67
169,paard,56.67,56.89
170,vinden,56.89,57.27
171,Daar,58.27,58.59
172,zag,58.59,58.82
173,hij,58.82,58.95
174,opeens,58.95,59.24
175,zijn,59.24,59.37
176,oude,59.37,59.65
177,vriend,59.65,59.95
178,de,59.95,59.98
179,vos,59.98,60.34
180,aan,60.34,60.51
181,de,60.51,60.57
182,weg,60.57,60.72
183,zitten,60.72,61.16
184,Zie,62.41,62.66
185,je,62.66,62.97
186,zei,63.1,63.43
187,die,63.43,63.6
188,dat,63.6,64.0
189,komt,64.0,64.4
190,ervan,64.4,64.73
191,dat,64.73,65.21
192,je,65.21,65.36
193,niet,65.36,65.6
194,naar,65.6,65.75
195,mij,65.75,65.92
196,geluisterd,65.92,66.46
197,hebt,66.46,66.83
198,Maar,66.83,67.48
199,ik,67.48,67.58
200,zal,67.58,67.76
201,je,67.76,67.85
202,wel,67.85,67.96
203,helpen,67.96,68.36
204,Hou,68.36,68.71
205,maar,68.71,68.83
206,moed,68.83,69.18
207,Ik,69.58,69.82
208,zal,69.82,70.0
209,je,70.0,70.13
210,zeggen,70.13,70.63
211,hoe,70.63,70.77
212,je,70.87,71.06
213,bij,71.06,71.23
214,het,71.23,71.32
215,gouden,71.32,71.67
216,paard,71.67,71.93
217,moet,71.93,72.11
218,komen,72.11,72.55
219,Je,73.56,73.84
220,moet,73.92,74.11
221,maar,74.11,74.23
222,rechtuit,74.23,74.72
223,gaan,74.72,75.09
224,Dan,75.09,75.34
225,kom,75.34,75.48
226,je,75.48,75.57
227,eindelijk,75.57,75.99
228,aan,75.99,76.14
229,een,76.14,76.18
230,slot,76.18,76.74
231,Daar,76.8,77.08
232,staat,77.08,77.39
233,het,77.39,77.43
234,paard,77.43,77.81
235,in,77.81,77.93
236,een,77.93,78.0
237,stal,78.0,78.84
238,Voor,79.12,79.32
239,de,79.32,79.38
240,stal,79.38,79.68
241,liggen,79.68,79.87
242,de,79.87,79.93
243,stalknechts,79.93,80.79
244,Maar,80.79,81.11
245,die,81.11,81.18
246,slapen,81.18,81.62
247,en,81.62,81.79
248,snorken,81.79,82.39
249,Je,82.97,83.12
250,kunt,83.12,83.32
251,rustig,83.32,83.65
252,het,83.65,83.74
253,gouden,83.74,84.09
254,paard,84.09,84.3
255,naar,84.3,84.46
256,buiten,84.46,84.76
257,brengen,84.76,85.2
258,Voor,86.02,86.2
259,een,86.2,86.41
260,ding,86.41,86.59
261,heb,86.59,86.69
262,je,86.69,86.88
263,te,86.88,86.97
264,zorgen,86.97,87.44
265,Zadel,88.0,88.52
266,hem,88.52,88.74
267,met,88.74,89.16
268,de,89.16,89.26
269,lelijke,89.26,89.78
270,zadel,89.78,90.2
271,van,90.2,90.41
272,hout,90.41,90.72
273,en,90.72,90.89
274,leer,90.89,91.43
275,en,91.49,91.88
