,Word,logWF
0,Wacht,7.088930073917595
1,eens,6.576937464212015
2,Zet,8.061180346815151
3,je,3.3074627183122343
4,poten,11.27636706481942
5,niet,3.9995448077236873
6,zo,5.561931547887086
7,binnenwaarts,
8,Een,4.0189303733045225
9,welopgevoed,15.984093839132605
10,eendje,13.623239838014582
11,zet,8.061180346815151
12,zijn,4.832293204174738
13,poten,11.27636706481942
14,buitenwaarts,16.900384571006757
15,evenals,12.469567772163446
16,vader,7.13638899728923
17,en,4.26959172556336
18,moeder,7.33471516041621
19,doen,5.922739662307709
20,Ziet,7.471350533789998
21,eens,6.576937464212015
22,Zo,5.561931547887086
23,Buigt,12.789510706833449
24,je,3.3074627183122343
25,hals,11.800518143182561
26,nu,5.7797612276184145
27,en,4.26959172556336
28,zegt,7.454932551940513
29,kwak,13.904652297452769
30,En,4.26959172556336
31,dat,3.813209089505593
32,deden,9.51919405747719
33,zij,7.188118058451619
34,Maar,4.781224216466304
35,de,3.718642524132941
36,andere,7.330413627266212
37,eenden,12.582896457470449
38,in,4.730434044235736
39,de,3.718642524132941
40,rondte,14.649092772400264
41,bekeken,10.698861712133223
42,ze,4.6766119975000535
43,en,4.26959172556336
44,zeiden,9.50496994629047
45,tegen,6.876495192618336
46,elkaar,7.455802461050333
47,kijk,6.8591806451067985
48,eens,6.576937464212015
49,Nu,5.7797612276184145
50,moeten,6.333307390153012
51,wij,6.936554789464469
52,nog,5.515076591760519
53,het,3.7118627352719065
54,aanhangsel,14.820943029326925
55,krijgen,7.607128698703269
56,alsof,8.064374078208031
57,wij,6.936554789464469
58,al,6.055786852779963
59,niet,3.9995448077236873
60,talrijk,14.010012813110594
61,genoeg,7.415789369892826
62,waren,7.340549974861074
63,En,4.26959172556336
64,foei,13.76489035507761
65,Wat,4.510637118072743
66,ziet,7.471350533789998
67,dat,3.813209089505593
68,ene,9.237916755806522
69,eendje,13.623239838014582
70,er,4.807225896789326
71,uit,5.886257349589803
72,Dat,3.813209089505593
73,willen,7.189753877179969
74,wij,6.936554789464469
75,hier,5.3999923196614015
76,niet,3.9995448077236873
77,hebben,5.674128358230619
78,En,4.26959172556336
79,terstond,14.374655926698505
80,vloog,11.065573833944153
81,er,4.807225896789326
82,een,4.0189303733045225
83,oude,8.204794179688724
84,eend,11.619722139697444
85,naar,5.4154008663952995
86,het,3.7118627352719065
87,arme,9.326596403956248
88,beest,9.853737293158005
89,toe,7.451775609971298
90,en,4.26959172556336
91,beet,10.897732834508213
92,het,3.7118627352719065
93,in,4.730434044235736
94,de,3.718642524132941
95,nek,9.7599315279056
96,Wil,5.527577862062109
97,je,3.3074627183122343
98,dat,3.813209089505593
99,nu,5.7797612276184145
100,wel,5.495824130714656
101,eens,6.576937464212015
102,laten,6.645377842692247
103,zei,6.658016968673825
104,de,3.718642524132941
105,moeder,7.33471516041621
106,Het,3.7118627352719065
107,doet,7.087779514947805
108,immers,11.797474000801332
109,niemand,7.246031681310174
110,kwaad,8.753965247908756
111,Dat,3.813209089505593
112,is,3.831877770393146
113,wel,5.495824130714656
114,mogelijk,8.653033533913971
115,maar,4.781224216466304
116,het,3.7118627352719065
117,is,3.831877770393146
118,te,4.8479906333667895
119,groot,8.345317727162442
120,en,4.26959172556336
121,ziet,7.471350533789998
122,er,4.807225896789326
123,zo,5.561931547887086
124,vreemd,8.973962493533602
125,uit,5.886257349589803
126,zei,6.658016968673825
127,de,3.718642524132941
128,andere,7.330413627266212
129,eend,11.619722139697444
130,En,4.26959172556336
131,daarom,8.095834359962687
132,moet,5.539550241515337
133,het,3.7118627352719065
134,eens,6.576937464212015
135,een,4.0189303733045225
136,pikje,16.900384571006757
137,hebben,5.674128358230619
138,Het,3.7118627352719065
139,zijn,4.832293204174738
140,lieve,9.261223399347585
141,kinderen,7.6532784198402535
142,die,4.933073683498688
143,de,3.718642524132941
144,moeder,7.33471516041621
145,heeft,5.611065264336855
146,zei,6.658016968673825
147,de,3.718642524132941
148,oude,8.204794179688724
149,eend,11.619722139697444
150,met,4.989048824802069
151,het,3.7118627352719065
152,lapje,13.515994307660986
153,om,5.422677041006019
154,de,3.718642524132941
155,poot,11.876504050160483
156,Zij,7.188118058451619
157,zijn,4.832293204174738
158,allemaal,7.111999275626786
159,mooi,7.3921643016023495
160,behalve,9.210327200153785
161,dat,3.813209089505593
162,ene,9.237916755806522
163,Dat,3.813209089505593
164,is,3.831877770393146
165,mislukt,11.349364850902969
166,Ik,3.2218043182888296
167,zou,5.988701899926984
168,wel,5.495824130714656
169,willen,7.189753877179969
170,dat,3.813209089505593
171,je,3.3074627183122343
172,dat,3.813209089505593
173,eens,6.576937464212015
174,wat,4.510637118072743
175,anders,7.165789154952925
176,kon,7.384436259295477
177,maken,6.951421866697731
178,Dat,3.813209089505593
179,gaat,6.089838775160082
180,immers,11.797474000801332
181,niet,3.9995448077236873
182,zei,6.658016968673825
183,de,3.718642524132941
184,moeder,7.33471516041621
185,van,4.564964900118906
186,het,3.7118627352719065
187,eendje,13.623239838014582
188,Het,3.7118627352719065
189,is,3.831877770393146
190,wel,5.495824130714656
191,niet,3.9995448077236873
192,mooi,7.3921643016023495
193,maar,4.781224216466304
194,het,3.7118627352719065
195,heeft,5.611065264336855
196,een,4.0189303733045225
197,goed,5.658395506504163
198,hart,8.53552704089422
199,en,4.26959172556336
200,zwemt,12.357089788736754
201,even,6.573772100135629
202,flink,10.137655064074881
203,als,5.060348409354168
204,al,6.055786852779963
205,de,3.718642524132941
206,anderen,8.669274730678605
207,Ja,5.675808067476016
208,ik,3.2218043182888296
209,moet,5.539550241515337
210,zeggen,6.825341541829516
211,nog,5.515076591760519
212,beter,7.277967661334759
213,Ik,3.2218043182888296
214,denk,6.444262687145846
215,wel,5.495824130714656
216,dat,3.813209089505593
217,het,3.7118627352719065
218,goed,5.658395506504163
219,zal,6.120095835882953
220,opgroeien,11.965910637876068
221,en,4.26959172556336
222,mettertijd,13.40387700954028
223,wat,4.510637118072743
224,kleiner,11.150991585098506
225,worden,6.840000112975348
226,Het,3.7118627352719065
227,heeft,5.611065264336855
228,te,4.8479906333667895
229,lang,7.42384115825592
230,in,4.730434044235736
231,het,3.7118627352719065
232,ei,11.031087657872984
233,gezeten,9.79747377725058
234,En,4.26959172556336
235,daardoor,10.588649761853844
236,is,3.831877770393146
237,het,3.7118627352719065
238,wat,4.510637118072743
239,mismaakt,14.297694885562375
240,geworden,8.824180043767733
241,Dit,5.355398581344849
242,zeggende,14.820943029326925
243,pakte,10.688780981604866
244,zij,7.188118058451619
245,het,3.7118627352719065
246,beet,10.897732834508213
247,en,4.26959172556336
248,streek,10.348590205229698
249,zijn,4.832293204174738
250,veren,11.800518143182561
251,glad,11.735598597083245
252,Bovendien,10.471471869937563
253,is,3.831877770393146
254,het,3.7118627352719065
255,een,4.0189303733045225
256,woerd,
257,zeide,14.097024190100225
258,zij,7.188118058451619
259,En,4.26959172556336
260,daarom,8.095834359962687
261,doet,7.087779514947805
262,het,3.7118627352719065
263,er,4.807225896789326
264,zo,5.561931547887086
265,veel,6.762971798791745
266,niet,3.9995448077236873
267,toe,7.451775609971298
268,Ik,3.2218043182888296
269,denk,6.444262687145846
270,dat,3.813209089505593
271,het,3.7118627352719065
272,wel,5.495824130714656
273,krachtig,11.482064412064027
274,zal,6.120095835882953
275,worden,6.840000112975348
276,Het,3.7118627352719065
277,weet,5.446455678844249
278,zich,7.2764455910256896
279,ten,10.20830082850013
280,minste,11.326331203025342
281,nu,5.7797612276184145
282,al,6.055786852779963
283,goed,5.658395506504163
284,te,4.8479906333667895
285,verweren,14.067171226950544
286,De,3.718642524132941
287,andere,7.330413627266212
288,eendjes,13.955945591840319
289,zien,6.476749974445576
290,er,4.807225896789326
291,allerliefst,14.703159993670539
292,uit,5.886257349589803
293,zei,6.658016968673825
294,de,3.718642524132941
295,oude,8.204794179688724
296,eend,11.619722139697444
297,Doe,6.297693216328155
298,maar,4.781224216466304
299,alsof,8.064374078208031
300,je,3.3074627183122343
301,thuis,7.825348591061475
302,waart,13.722330740658814
303,En,4.26959172556336
304,als,5.060348409354168
305,je,3.3074627183122343
306,een,4.0189303733045225
307,palingkop,
308,vindt,8.107303587021454
309,dan,5.449616464393709
310,kun,7.751228352355574
311,je,3.3074627183122343
312,die,4.933073683498688
313,wel,5.495824130714656
314,aan,5.562664046125813
315,mij,5.975372779003833
316,brengen,8.294997368854604
317,En,4.26959172556336
318,zo,5.561931547887086
319,waren,7.340549974861074
320,zij,7.188118058451619
321,er,4.807225896789326
322,dan,5.449616464393709
323,zo,5.561931547887086
324,goed,5.658395506504163
325,als,5.060348409354168
326,thuis,7.825348591061475
327,Maar,4.781224216466304
328,het,3.7118627352719065
329,arme,9.326596403956248
330,eendje,13.623239838014582
331,dat,3.813209089505593
332,het,3.7118627352719065
333,laatst,9.713105407274304
334,uit,5.886257349589803
335,het,3.7118627352719065
336,ei,11.031087657872984
337,gekomen,8.492783056220615
338,was,5.239465916128843
339,en,4.26959172556336
340,er,4.807225896789326
341,zo,5.561931547887086
342,lelijk,10.440480116629226
343,uitzag,12.357089788736754
344,werd,7.565395894465466
345,gebeten,11.20665243220406
346,gestoten,12.524627549346473
347,en,4.26959172556336
348,voor,5.004171442873069
349,de,3.718642524132941
350,gek,7.5189099878771986
351,gehouden,9.801595794628646
352,En,4.26959172556336
353,dat,3.813209089505593
354,zowel,11.080301640654397
355,door,6.532267177194495
356,de,3.718642524132941
357,eenden,12.582896457470449
358,als,5.060348409354168
359,door,6.532267177194495
360,de,3.718642524132941
361,kippen,11.347424986085143
362,Het,3.7118627352719065
363,is,3.831877770393146
364,te,4.8479906333667895
365,groot,8.345317727162442
366,zeiden,9.50496994629047
367,allen,9.686616262888117
368,En,4.26959172556336
369,de,3.718642524132941
370,kalkoense,
371,haan,12.362423134712117
372,die,4.933073683498688
373,met,4.989048824802069
374,sporen,10.165792911033812
375,ter,9.473240437598145
376,wereld,7.839124422044729
377,gekomen,8.492783056220615
378,was,5.239465916128843
379,en,4.26959172556336
380,daarom,8.095834359962687
381,dacht,7.159945499921001
382,dat,3.813209089505593
383,hij,4.724433561079115
384,keizer,10.507630287201094
385,was,5.239465916128843
386,blies,12.446037274753252
387,zich,7.2764455910256896
388,op,4.819750439675106
389,als,5.060348409354168
390,een,4.0189303733045225
391,schip,9.068171997484074
392,met,4.989048824802069
393,volle,10.296440746406288
394,zeilen,11.579816595523903
395,en,4.26959172556336
396,kwam,7.644115267142177
