,word,depth,close,open
0,Het,0,0,1
1,werd,1,0,1
2,alles,1,0,0
3,volbracht,1,2,0
4,En,0,0,1
5,de,2,0,2
6,koningszoon,2,1,0
7,voerde,1,0,0
8,de,2,0,1
9,schone,2,0,0
10,jonkvrouw,2,0,0
11,op,3,0,1
12,het,4,0,1
13,gouden,4,0,0
14,paard,4,0,0
15,met,5,0,1
16,zich,5,4,0
17,mede,1,2,0
18,De,3,0,4
19,vos,3,1,0
20,bleef,2,0,0
21,bij,3,0,1
22,hen,3,2,0
23,en,1,0,0
24,zei,1,1,0
25,nu,2,0,1
26,zal,1,0,1
27,ik,1,0,0
28,je,2,0,0
29,ook,2,0,0
30,aan,3,0,1
31,de,4,0,1
32,gouden,4,0,0
33,vogel,4,2,0
34,helpen,2,3,0
35,Als,1,0,2
36,je,2,0,1
37,dicht,4,0,2
38,bij,5,0,1
39,het,6,0,1
40,slot,6,0,0
41,van,7,0,1
42,de,8,0,1
43,vogel,8,5,0
44,zult,2,0,0
45,zijn,3,3,0
46,laat,0,0,0
47,dan,0,0,0
48,de,1,0,1
49,jonkvrouw,1,1,0
50,afstijgen,0,1,0
51,Ik,0,0,1
52,zal,0,0,0
53,haar,1,0,1
54,bewaken,1,2,0
55,Rij,0,0,1
56,dan,0,0,0
57,met,1,0,1
58,het,2,0,1
59,gouden,2,0,0
60,paard,2,2,0
61,het,1,0,1
62,slotplein,1,1,0
63,op,0,1,0
64,Dat,1,0,2
65,gezicht,1,1,0
66,zal,0,0,0
67,bovenmatige,2,0,2
68,vreugde,2,1,0
69,geven,1,2,0
70,En,0,0,1
71,zij,1,0,1
72,zullen,1,0,0
73,de,3,0,2
74,gouden,3,0,0
75,vogel,3,1,0
76,buiten,2,0,0
77,brengen,2,3,0
78,Als,1,0,2
79,je,2,0,1
80,de,3,0,1
81,kooi,3,1,0
82,vast,2,0,0
83,hebt,2,2,0
84,jaag,2,0,2
85,dan,2,0,0
86,ogenblikkelijk,3,0,1
87,naar,4,0,1
88,ons,4,2,0
89,terug,2,1,0
90,en,1,0,0
91,haal,2,0,1
92,de,3,0,1
93,jonkvrouw,3,1,0
94,af,2,3,0
95,Toen,3,0,3
96,dat,6,0,3
97,waagstuk,6,1,0
98,volbracht,5,0,0
99,was,5,1,0
100,en,4,0,0
101,de,6,0,2
102,koningszoon,6,1,0
103,met,7,0,2
104,zijn,8,0,1
105,schatten,8,2,0
106,zou,5,0,0
107,wegrijden,6,4,0
108,zei,2,0,0
109,de,3,0,1
110,vos,3,2,0
111,:,0,0,1
112,nu,3,0,1
113,moet,2,0,1
114,je,2,0,0
115,mij,3,0,0
