,word,depth,close,open
0,Goddank,0,0,1
1,zei,1,0,1
2,het,2,0,1
3,eendje,2,1,0
4,met,2,0,1
5,een,3,0,1
6,zucht,3,4,0
7,Ik,0,0,1
8,ben,0,0,0
9,zo,2,0,1
10,lelijk,1,0,1
11,dat,3,0,1
12,de,5,0,2
13,hond,5,1,0
14,mij,5,0,1
15,zelfs,5,0,0
16,niet,5,0,0
17,wil,4,0,0
18,bijten,5,6,0
19,En,0,0,1
20,zo,2,0,1
21,bleef,1,0,1
22,het,1,0,0
23,roerloos,2,0,0
24,liggen,2,0,0
25,terwijl,3,0,1
26,de,6,0,3
27,hagel,6,1,0
28,door,6,0,1
29,het,7,0,1
30,riet,7,2,0
31,snorde,5,1,0
32,en,4,0,0
33,er,5,0,1
34,schot,5,0,0
35,op,6,0,1
36,schot,6,1,0
37,knalde,5,6,0
38,Eerst,1,0,2
39,laat,1,0,0
40,op,2,0,1
41,de,3,0,1
42,dag,3,3,0
43,werd,0,0,0
44,het,0,0,0
45,stil,0,1,0
46,Maar,0,0,1
47,het,2,0,2
48,arme,2,0,0
49,eendje,2,1,0
50,durfde,1,0,0
51,nog,2,0,1
52,niet,2,1,0
53,opstaan,1,2,0
54,Het,0,0,1
55,wachtte,0,0,0
56,nog,0,0,0
57,verscheidene,1,0,1
58,uren,1,1,0
59,voordat,1,0,1
60,het,2,0,1
61,omkeek,2,3,0
62,En,0,0,1
63,toen,1,0,1
64,snelde,1,0,0
65,het,1,0,0
66,uit,2,0,1
67,het,3,0,1
68,moeras,3,2,0
69,weg,1,0,0
70,zo,3,0,1
71,vlug,2,0,1
72,als,4,0,1
73,het,5,0,1
74,maar,5,0,0
75,kon,5,6,0
76,Het,0,0,1
77,liep,0,0,0
78,over,1,0,1
79,veld,2,0,1
80,en,2,0,0
81,weide,2,3,0
82,Maar,0,0,1
83,er,2,0,2
84,woei,2,0,0
85,zulk,4,0,2
86,een,4,1,0
87,hevige,3,0,0
88,storm,3,2,0
89,dat,2,0,1
90,het,3,0,1
91,werk,3,0,0
92,had,3,0,0
93,om,4,0,1
94,op,8,0,2
95,zijn,9,0,1
96,poten,9,2,0
97,te,5,0,1
98,blijven,6,0,1
99,staan,7,8,0
100,Tegen,1,0,2
101,de,2,0,1
102,avond,2,2,0
103,bereikte,0,0,0
104,het,0,0,0
105,een,1,0,1
106,kleine,1,0,0
107,armoedige,1,0,0
108,boerenhut,1,2,0
109,Deze,0,0,1
110,was,0,0,0
111,zo,2,0,1
112,bouwvallig,1,0,1
113,dat,3,0,1
114,zij,4,0,1
115,zelf,4,0,0
116,niet,4,0,0
117,wist,4,0,0
118,naar,6,0,2
119,welke,7,0,1
120,kant,7,2,0
121,zij,6,0,1
122,zou,6,0,0
123,vallen,6,7,0
124,En,0,0,1
125,daarom,2,0,1
126,bleef,1,0,1
127,zij,1,0,0
128,maar,2,0,0
129,staan,2,3,0
130,De,2,0,2
131,storm,2,1,0
132,gierde,1,0,0
133,zo,3,0,1
134,verschrikkelijk,2,0,1
135,om,2,0,1
136,het,3,0,1
137,eendje,3,1,0
138,heen,2,1,0
139,dat,4,0,1
140,het,5,0,1
141,moest,5,0,0
142,gaan,6,0,1
143,zitten,7,0,1
144,",",0,0,1
145,om,8,0,1
146,niet,10,0,1
147,omver,10,0,0
148,te,9,0,1
149,waaien,10,11,0
150,Nu,1,0,2
151,bemerkte,1,0,0
152,het,1,0,0
153,dat,2,0,1
154,de,5,0,3
155,deur,5,1,0
156,uit,6,0,2
157,het,7,0,1
158,ene,7,0,0
159,scharnier,7,2,0
160,geraakt,5,1,0
161,was,4,1,0
162,en,3,0,0
163,zo,5,0,2
164,scheef,5,1,0
165,hing,4,4,0
166,dat,1,0,1
167,het,2,0,1
168,door,4,0,2
169,de,5,0,1
170,reet,5,2,0
171,in,4,0,1
172,de,5,0,1
173,kamer,5,2,0
174,kon,2,0,0
175,sluipen,3,4,0
176,En,0,0,1
177,dit,1,0,1
178,deed,1,0,0
179,het,1,0,0
180,dan,1,0,0
181,ook,1,2,0
182,Hier,0,0,1
183,woonde,0,0,0
184,een,1,0,1
185,oude,1,0,0
186,vrouw,1,0,0
187,met,2,0,1
188,haar,4,0,2
189,kater,4,1,0
190,en,3,0,0
191,haar,4,0,1
192,kip,4,5,0
193,En,1,0,1
194,de,3,0,2
195,kater,3,0,0
196,die,4,0,1
197,zij,5,0,1
198,haar,6,0,1
199,zoontje,6,1,0
200,noemde,5,3,0
201,",",0,0,1
202,kon,2,0,0
203,een,5,0,3
204,hoge,5,0,0
205,rug,5,1,0
206,zetten,4,1,0
207,en,3,0,0
208,spinnen,3,4,0
209,Hij,0,0,1
210,gaf,0,0,0
211,zelfs,0,0,0
212,vonken,1,0,1
213,van,2,0,1
214,zich,2,3,0
215,Maar,1,0,2
216,dan,2,0,1
217,moest,2,0,0
218,men,2,0,0
219,zijn,3,0,1
220,haar,3,3,0
221,de,2,0,2
222,verkeerde,2,0,0
223,kant,2,1,0
224,opstrijken,1,2,0
225,De,1,0,2
226,kip,1,1,0
227,had,0,0,0
228,korte,1,0,1
229,lage,1,0,0
230,poten,1,2,0
231,En,0,0,1
232,daarom,2,0,1
233,werd,1,0,1
234,zij,1,0,0
235,juffrouw,3,0,1
236,Kortbeen,3,1,0
237,genoemd,2,3,0
238,Zij,0,0,1
239,legde,0,0,0
240,heerlijke,1,0,1
241,eieren,1,2,0
242,En,0,0,1
243,de,2,0,2
244,vrouw,2,1,0
245,had,1,0,0
246,haar,1,0,0
247,zo,2,0,1
248,lief,2,1,0
249,alsof,2,0,1
250,zij,3,0,1
251,haar,4,0,1
252,kind,4,1,0
253,was,3,4,0
254,'s,1,0,2
255,Morgens,1,1,0
256,zag,0,0,0
257,men,0,0,0
258,het,1,0,1
259,vreemde,1,0,0
260,eendje,1,1,0
261,dadelijk,0,1,0
262,En,0,0,1
263,nu,4,0,1
264,begon,2,0,2
265,de,3,0,1
266,kater,3,1,0
267,te,3,0,1
268,blazen,4,3,0
269,en,1,0,0
270,de,3,0,2
271,kip,3,1,0
272,te,3,0,1
273,kakelen,3,4,0
274,Wat,0,0,1
275,is,1,0,1
276,er,3,0,1
277,te,2,0,1
278,doen,3,4,0
279,zei,1,0,2
280,de,2,0,1
281,vrouw,2,2,0
282,en,0,0,0
283,keek,1,0,1
284,in,2,0,1
285,de,3,0,1
286,rondte,3,4,0
287,Maar,0,0,1
288,zij,1,0,1
289,had,1,0,0
290,een,2,0,1
291,slecht,2,0,0
292,gezicht,2,3,0
293,En,0,0,1
294,daarom,1,0,1
295,dacht,1,0,0
296,zij,1,0,0
297,dat,2,0,1
298,het,4,0,2
299,eendje,4,1,0
300,een,4,0,1
301,vette,4,0,0
302,eend,4,0,0
303,was,3,0,0
304,die,5,0,1
305,verdwaald,7,0,1
306,was,6,0,1
307,geraakt,7,8,0
308,Dat,1,0,2
309,is,1,0,0
310,een,2,0,1
311,goede,2,0,0
312,vangst,2,2,0
313,zeide,1,0,1
314,zij,1,2,0
315,Nu,1,0,1
316,kan,0,0,1
317,ik,0,0,0
318,eendeneieren,1,0,0
319,krijgen,1,2,0
320,Als,0,0,1
321,het,1,0,1
322,maar,1,0,0
