,word,onset,offset
240,geworden,80.83,81.23
241,Dit,82.53,82.74
242,zeggende,82.74,83.13
243,pakte,83.36,83.59
244,zij,83.59,83.69
245,het,83.69,83.77
246,beet,83.77,84.06
247,en,84.35,84.42
248,streek,84.42,84.71
249,zijn,84.71,84.87
250,veren,84.87,85.19
251,glad,85.19,85.52
252,Bovendien,86.57,87.02
253,is,87.23,87.38
254,het,87.38,87.5
255,een,87.5,87.65
256,woerd,87.65,87.88
257,zeide,88.24,88.44
258,zij,88.44,88.63
259,En,89.03,89.18
260,daarom,89.18,89.51
261,doet,89.51,89.61
262,het,89.69,89.76
263,er,89.76,89.8
264,zo,89.8,89.94
265,veel,89.94,90.12
266,niet,90.12,90.26
267,toe,90.26,90.43
268,Ik,91.01,91.1
269,denk,91.1,91.35
270,dat,91.53,91.66
271,het,91.66,91.79
272,wel,91.79,91.9
273,krachtig,91.9,92.31
274,zal,92.31,92.5
275,worden,92.5,92.74
276,Het,93.14,93.25
277,weet,93.25,93.39
278,zich,93.39,93.5
279,ten,93.5,93.62
280,minste,93.62,93.96
281,nu,93.96,94.18
282,al,94.18,94.27
283,goed,94.27,94.54
284,te,94.54,94.61
285,verweren,94.61,95.09
286,De,96.82,96.85
287,andere,96.98,97.27
288,eendjes,97.27,97.84
289,zien,98.1,98.27
290,er,98.27,98.34
291,allerliefst,98.47,98.95
292,uit,98.95,99.15
293,zei,99.68,99.82
294,de,99.82,99.89
295,oude,99.89,100.09
296,eend,100.09,100.36
297,Doe,101.02,101.14
298,maar,101.14,101.39
299,alsof,101.72,102.0
300,je,102.0,102.07
301,thuis,102.14,102.42
302,waart,102.42,102.73
303,En,103.17,103.32
304,als,103.32,103.39
305,je,103.39,103.49
306,een,103.49,103.64
307,palingkop,103.72,104.27
308,vindt,104.27,104.54
309,dan,104.92,105.03
310,kun,105.03,105.18
311,je,105.18,105.26
312,die,105.26,105.37
313,wel,105.37,105.5
314,aan,105.5,105.62
315,mij,105.62,105.81
316,brengen,105.87,106.1
317,En,107.27,107.41
318,zo,107.41,107.68
319,waren,107.68,107.95
320,zij,107.95,108.06
321,er,108.06,108.15
322,dan,108.15,108.4
323,zo,108.4,108.57
324,goed,108.57,108.79
325,als,108.79,108.94
326,thuis,108.94,109.34
327,Maar,110.11,110.27
328,het,110.27,110.36
329,arme,110.36,110.67
330,eendje,110.67,111.05
331,dat,111.23,111.35
332,het,111.35,111.49
333,laatst,111.49,111.81
334,uit,111.81,111.92
335,het,111.92,112.04
336,ei,112.04,112.2
337,gekomen,112.2,112.64
338,was,112.64,112.85
339,en,113.14,113.19
340,er,113.19,113.29
341,zo,113.29,113.48
342,lelijk,113.48,113.8
343,uitzag,113.8,114.3
344,werd,114.65,114.79
345,gebeten,114.79,115.38
346,gestoten,115.63,116.23
347,en,116.45,116.52
348,voor,116.52,116.66
349,de,116.66,116.69
350,gek,116.69,116.92
351,gehouden,116.92,117.4
352,En,117.73,117.84
353,dat,117.84,117.99
354,zowel,117.99,118.29
355,door,118.29,118.4
356,de,118.4,118.47
357,eenden,118.47,118.9
358,als,119.02,119.19
359,door,119.19,119.28
360,de,119.28,119.36
361,kippen,119.41,119.73
362,Het,120.92,121.07
363,is,121.07,121.22
364,te,121.22,121.31
365,groot,121.31,121.87
366,zeiden,122.11,122.34
367,allen,122.34,122.67
368,En,123.18,123.33
369,de,123.33,123.38
370,kalkoense,123.44,124.03
371,haan,124.03,124.36
372,die,124.59,124.69
373,met,124.69,124.88
374,sporen,124.88,125.28
375,ter,125.28,125.44
376,wereld,125.44,125.72
377,gekomen,125.72,126.09
378,was,126.09,126.33
379,en,126.63,126.75
380,daarom,126.75,127.05
381,dacht,127.05,127.26
382,dat,127.44,127.58
383,hij,127.58,127.69
384,keizer,127.75,128.11
385,was,128.11,128.35
386,blies,128.75,128.99
387,zich,128.99,129.19
388,op,129.19,129.42
389,als,129.42,129.56
390,een,129.56,129.63
391,schip,129.63,129.96
392,met,130.05,130.24
393,volle,130.24,130.53
394,zeilen,130.53,130.9
395,en,131.1,131.22
396,kwam,131.22,131.43
397,op,131.43,131.61
398,hem,131.61,131.71
399,af,131.71,132.04
400,Toen,132.7,132.96
401,klokte,132.96,133.29
402,hij,133.29,133.49
403,en,133.74,133.88
404,werd,133.88,133.97
405,zijn,134.02,134.19
406,kop,134.19,134.41
407,vuurrood,134.48,135.06
408,Het,136.0,136.17
409,arme,136.17,136.5
410,eendje,136.5,136.75
411,wist,136.75,136.98
