,word,onset,offset
239,en,92.47,92.57
240,ging,92.57,92.87
241,naar,92.87,93.03
242,huis,93.03,93.43
243,Maar,94.78,94.98
244,de,94.98,95.06
245,derde,95.06,95.28
246,sprak,95.28,95.7
247,Goud,96.17,96.49
248,en,96.49,96.56
249,zilver,96.56,96.87
250,trekken,96.87,97.18
251,mij,97.18,97.34
252,niet,97.34,97.63
253,Ik,97.93,98.05
254,zie,98.05,98.24
255,niet,98.24,98.42
256,af,98.42,98.83
257,van,99.05,99.14
258,het,99.14,99.26
259,geluk,99.26,99.68
260,Misschien,100.29,100.65
261,is,100.65,100.8
262,er,100.8,100.83
263,voor,100.83,101.0
264,mij,101.0,101.2
265,nog,101.2,101.33
266,iets,101.33,101.45
267,beters,101.45,101.82
268,weggelegd,101.82,102.47
269,Hij,103.59,103.63
270,trok,104.22,104.6
271,verder,104.6,105.05
272,En,105.12,105.23
273,toen,105.23,105.38
274,hij,105.38,105.49
275,drie,105.49,105.69
276,dagen,105.69,105.98
277,gelopen,105.98,106.46
278,had,106.46,106.74
279,kwam,107.08,107.26
280,hij,107.26,107.35
281,bij,107.35,107.6
282,een,107.6,107.69
283,bos,107.69,107.95
284,nog,107.95,108.11
285,veel,108.11,108.33
286,groter,108.33,108.74
287,dan,108.74,108.9
288,de,108.9,108.96
289,vorige,108.96,109.55
290,Er,110.4,110.47
291,kwam,110.52,110.8
292,geen,110.8,111.01
293,eind,111.14,111.4
294,aan,111.4,111.82
295,Hij,113.02,113.06
296,had,113.19,113.41
297,niets,113.41,113.71
298,te,113.71,113.77
299,eten,113.77,114.09
300,of,114.09,114.17
301,te,114.17,114.29
302,drinken,114.29,114.71
303,en,115.12,115.25
304,was,115.25,115.41
305,op,115.41,115.49
306,het,115.49,115.55
307,punt,115.6,115.83
308,te,115.83,115.91
309,versmachten,115.91,116.5
310,Toen,117.42,117.6
311,klom,117.6,117.84
312,hij,117.84,117.96
313,in,117.96,118.05
314,een,118.05,118.14
315,hoge,118.14,118.46
316,boom,118.46,118.81
317,om,118.81,118.91
318,te,118.91,119.01
319,zien,119.01,119.3
320,waar,119.3,119.4
321,het,119.4,119.46
322,bos,119.46,119.7
323,ophield,119.7,120.22
324,Maar,120.63,120.76
325,zover,120.76,121.13
326,zijn,121.13,121.34
327,blik,121.34,121.61
328,ging,121.61,121.97
329,zag,122.26,122.48
330,hij,122.48,122.54
331,niet,122.54,122.76
332,anders,122.76,123.11
333,dan,123.11,123.27
334,boomtoppen,123.27,123.89
335,Hij,125.24,125.33
336,kwam,125.33,125.61
337,weer,125.61,125.7
338,naar,125.7,125.84
