,word,onset,offset
0,Het,0.41,0.49
1,was,0.49,0.63
2,heerlijk,0.7,1.02
3,buiten,1.02,1.34
4,op,1.34,1.45
5,het,1.45,1.53
6,land,1.53,1.79
7,Het,2.28,2.31
8,was,2.31,2.49
9,zomer,2.49,2.88
10,Het,3.2,3.33
11,koren,3.4,3.69
12,was,3.69,3.84
13,rijp,3.84,4.11
14,Het,4.43,4.52
15,hooi,4.58,4.81
16,stond,4.81,5.05
17,op,5.05,5.16
18,de,5.16,5.19
19,groene,5.19,5.46
20,weiden,5.46,5.84
21,aan,5.84,5.95
22,oppers,5.95,6.36
23,En,6.64,6.75
24,de,6.75,6.79
25,ooievaar,6.79,7.41
26,liep,7.58,7.71
27,op,7.71,7.83
28,zijn,7.83,8.01
29,lange,8.01,8.35
30,rode,8.42,8.77
31,poten,8.82,9.2
32,en,9.37,9.49
33,praatte,9.49,9.81
34,Egyptisch,9.81,10.32
35,want,10.74,10.87
36,deze,10.87,11.2
37,taal,11.2,11.43
38,had,11.43,11.59
39,hij,11.59,11.63
40,van,11.63,11.78
41,zijn,11.78,11.96
42,moeder,11.96,12.11
43,geleerd,12.11,12.54
44,Rondom,13.54,13.94
45,de,13.94,14.03
46,korenvelden,14.03,14.69
47,en,14.77,14.87
48,de,14.87,14.94
49,weiden,14.94,15.35
50,waren,15.61,15.82
51,uitgestrekte,15.82,16.44
52,bossen,16.44,16.8
53,En,17.17,17.24
54,midden,17.24,17.53
55,in,17.53,17.67
56,de,17.67,17.74
57,bossen,17.74,18.14
58,diepe,18.4,18.67
59,meren,18.67,19.1
60,Ja,19.86,20.13
61,het,20.41,20.52
62,was,20.52,20.67
63,werkelijk,20.67,21.18
64,heerlijk,21.29,21.76
65,daar,21.76,21.91
66,buiten,21.91,22.23
67,op,22.23,22.35
68,het,22.35,22.42
69,land,22.42,22.68
70,Door,23.49,23.64
71,de,23.64,23.68
72,glans,23.68,24.07
73,der,24.07,24.25
74,zon,24.25,24.49
75,beschenen,24.49,25.03
76,stond,25.31,25.51
77,daar,25.51,25.66
78,een,25.66,25.73
79,oud,25.73,25.99
80,kasteel,25.99,26.53
81,dat,26.8,26.96
82,door,26.96,27.07
83,een,27.07,27.19
84,diepe,27.24,27.49
85,gracht,27.49,27.88
86,omgeven,27.88,28.3
87,was,28.3,28.59
88,En,29.12,29.21
89,van,29.21,29.39
90,de,29.39,29.45
91,muur,29.45,29.82
92,tot,29.82,30.03
93,aan,30.03,30.13
94,het,30.13,30.23
95,water,30.23,30.62
96,groeide,30.94,31.39
97,dicht,31.39,31.65
98,kreupelhout,31.71,32.32
99,Ter,33.18,33.29
100,midden,33.29,33.6
101,hiervan,33.6,33.99
102,zat,34.25,34.4
103,in,34.4,34.53
104,haar,34.53,34.64
105,nest,34.64,35.02
106,een,35.02,35.11
107,eend,35.18,35.47
108,die,35.71,35.86
109,haar,35.86,35.95
110,jongen,35.95,36.17
111,moest,36.17,36.39
112,uitbroeden,36.39,36.9
113,Maar,37.6,37.68
114,het,37.68,37.75
115,begon,37.75,38.04
116,haar,38.04,38.18
117,bijna,38.18,38.52
118,te,38.52,38.65
119,vervelen,38.65,39.17
