,word,depth,close,open
0,De,1,0,2
1,gouden,1,0,0
2,vogel,1,0,0
3,Voor,2,0,1
4,lange,3,0,1
5,tijden,3,3,0
6,was,0,0,0
7,er,0,0,0
8,een,1,0,1
9,koning,1,2,0
10,Hij,0,0,1
11,had,0,0,0
12,een,1,0,1
13,prachtige,1,0,0
14,tuin,1,0,0
15,achter,2,0,1
16,zijn,3,0,1
17,paleis,3,4,0
18,En,0,0,1
19,daarin,1,0,1
20,stond,1,0,0
21,een,2,0,1
22,boom,2,0,0
23,die,3,0,1
24,gouden,5,0,2
25,appelen,5,1,0
26,droeg,4,5,0
27,Toen,2,0,2
28,de,4,0,2
29,appelen,4,1,0
30,rijpten,3,2,0
31,werden,0,0,1
32,zij,0,0,0
33,geteld,1,2,0
34,Maar,0,0,1
35,de,2,0,2
36,volgende,2,0,0
37,morgen,2,1,0
38,ontbrak,1,0,0
39,er,1,0,0
40,al,1,0,0
41,een,1,2,0
42,Het,0,0,1
43,werd,0,0,0
44,de,2,0,2
45,koning,2,1,0
46,gemeld,1,2,0
47,En,0,0,1
48,hij,1,0,1
49,beval,1,0,0
50,dat,2,0,1
51,er,5,0,2
52,alle,6,0,1
53,nachten,6,0,0
54,onder,7,0,1
55,de,8,0,1
56,boom,8,3,0
57,zou,3,0,1
58,gewaakt,5,1,0
59,worden,4,5,0
60,De,1,0,2
61,koning,1,1,0
62,had,0,0,0
63,drie,1,0,1
64,zonen,1,2,0
65,De,1,0,2
66,oudste,1,1,0
67,zond,0,0,0
68,hij,0,0,0
69,uit,0,0,0
70,om,1,0,1
71,bij,4,0,2
72,de,5,0,1
73,boom,5,2,0
74,te,2,0,1
75,waken,3,0,0
76,toen,4,0,1
77,de,6,0,2
78,nacht,6,1,0
79,aanbrak,5,6,0
80,Maar,0,0,1
81,toen,3,0,2
82,het,4,0,1
83,middernacht,4,0,0
84,was,4,2,0
85,kon,1,0,1
86,hij,1,0,0
87,zich,2,0,0
88,niet,3,0,1
89,meer,3,1,0
90,verweren,2,0,0
91,tegen,3,0,1
92,de,4,0,1
93,slaap,4,5,0
94,En,0,0,1
95,s,2,0,2
96,morgens,2,1,0
97,miste,1,0,0
98,men,1,0,0
99,weer,1,0,0
100,een,2,0,1
101,appel,2,3,0
102,De,2,0,2
103,nacht,2,0,0
104,daarop,2,1,0
105,moest,0,0,1
106,de,1,0,1
107,tweede,1,0,0
108,zoon,1,1,0
109,waken,1,2,0
110,Maar,0,0,1
111,hem,1,0,1
112,ging,1,0,0
113,het,1,0,0
114,niet,1,0,0
115,beter,1,2,0
116,Om,1,0,2
117,twaalf,3,0,2
118,uur,3,1,0
119,te,3,0,1
120,middernacht,3,3,0
121,sliep,0,0,0
122,hij,0,0,0
123,in,0,1,0
124,En,0,0,1
125,s,2,0,2
126,morgens,2,1,0
127,ontbrak,1,0,0
128,er,1,0,0
129,een,2,0,1
130,appel,2,3,0
131,Nu,0,0,1
132,kwam,0,0,0
133,de,1,0,1
134,beurt,1,1,0
135,aan,1,0,1
136,de,2,0,1
137,derde,2,0,0
138,zoon,2,3,0
139,En,0,0,1
140,hij,1,0,1
141,was,1,0,0
142,ook,1,0,0
143,bereid,1,2,0
144,Maar,0,0,1
145,de,3,0,3
146,koning,3,1,0
147,had,2,0,0
148,niet,2,0,0
149,veel,3,0,1
150,verwachting,3,0,0
151,van,4,0,1
152,hem,4,3,0
153,en,1,0,0
154,meende,2,0,1
155,dat,3,0,1
156,hij,4,0,1
157,nog,5,0,1
158,minder,6,0,1
159,zou,4,0,0
160,uitrichten,5,0,0
161,dan,7,0,1
162,zijn,8,0,1
163,broers,8,9,0
164,Maar,0,0,1
165,hij,1,0,1
166,gaf,1,0,0
167,hem,1,0,0
