,Word,logWF
0,De,3.718642524132941
1,Ransel,14.374655926698505
2,het,3.7118627352719065
3,Hoedje,12.848599623203455
4,en,4.26959172556336
5,het,3.7118627352719065
6,Hoorntje,15.396307174230484
7,Er,4.807225896789326
8,waren,7.340549974861074
9,eens,6.576937464212015
10,drie,7.548718262940142
11,broers,10.328102028312752
12,die,4.933073683498688
13,langzamerhand,13.434648668207034
14,tot,6.78420792506028
15,armoede,12.138210636209005
16,waren,7.340549974861074
17,vervallen,12.67355082573858
18,Eindelijk,9.05908820674394
19,was,5.239465916128843
20,de,3.718642524132941
21,nood,11.075860478654429
22,zo,5.561931547887086
23,hoog,9.668735837610269
24,gestegen,12.159809748012465
25,dat,3.813209089505593
26,zij,7.188118058451619
27,niets,6.653644250269801
28,meer,6.196825545589178
29,te,4.8479906333667895
30,eten,7.715362007014867
31,hadden,7.848161067127714
32,en,4.26959172556336
33,honger,9.288789481925933
34,moesten,9.335368390029085
35,lijden,10.235337998833673
36,Toen,6.8247520681282365
37,zeiden,9.50496994629047
38,zij,7.188118058451619
39,zo,5.561931547887086
40,kan,5.51501978745701
41,het,3.7118627352719065
42,niet,3.9995448077236873
43,blijven,7.566367454336979
44,Wij,6.936554789464469
45,zullen,7.337804074381958
46,de,3.718642524132941
47,wereld,7.839124422044729
48,in,4.730434044235736
49,moeten,6.333307390153012
50,en,4.26959172556336
51,ons,6.073998168382231
52,geluk,8.703396643747864
53,zoeken,8.205212572230705
54,En,4.26959172556336
55,zij,7.188118058451619
56,trokken,11.987729685270708
57,weg,6.514594333637879
58,Op,4.819750439675106
59,verre,11.64811114296013
60,wegen,10.791136988242394
61,waren,7.340549974861074
62,zij,7.188118058451619
63,al,6.055786852779963
64,gegaan,9.005321072915187
65,En,4.26959172556336
66,veel,6.762971798791745
67,grassprietjes,
68,hadden,7.848161067127714
69,zij,7.188118058451619
70,al,6.055786852779963
71,plat,10.872106050776061
72,getreden,14.010012813110594
73,Maar,4.781224216466304
74,het,3.7118627352719065
75,geluk,8.703396643747864
76,hadden,7.848161067127714
77,zij,7.188118058451619
78,nog,5.515076591760519
79,niet,3.9995448077236873
80,ontmoet,8.888034931678966
81,Op,4.819750439675106
82,een,4.0189303733045225
83,dag,7.071970841523585
84,gebeurde,9.224838568468911
85,het,3.7118627352719065
86,dat,3.813209089505593
87,zij,7.188118058451619
88,in,4.730434044235736
89,een,4.0189303733045225
90,groot,8.345317727162442
91,bos,9.9757721749582
92,kwamen,9.196925523139583
93,En,4.26959172556336
94,midden,9.959194515938384
95,daarin,10.55299536135075
96,was,5.239465916128843
97,een,4.0189303733045225
98,berg,10.280311364476402
99,En,4.26959172556336
100,dichterbij,10.202116516891346
101,gekomen,8.492783056220615
102,zagen,9.85156385174602
103,zij,7.188118058451619
104,dat,3.813209089505593
105,de,3.718642524132941
106,berg,10.280311364476402
107,helemaal,7.509557658182351
108,van,4.564964900118906
109,zilver,11.518185720478021
110,was,5.239465916128843
111,Toen,6.8247520681282365
112,zei,6.658016968673825
113,de,3.718642524132941
114,oudste,11.102808217064197
115,nu,5.7797612276184145
116,heb,4.934366414055499
117,ik,3.2218043182888296
118,het,3.7118627352719065
119,verlangde,12.911400524442485
120,geluk,8.703396643747864
121,gevonden,7.993178376041279
122,en,4.26959172556336
123,heb,4.934366414055499
124,niets,6.653644250269801
125,verder,8.035496637232571
126,nodig,6.870440594518072
127,Hij,4.724433561079115
128,nam,9.061252922732427
129,zoveel,8.356062712202268
130,zilver,11.518185720478021
131,van,4.564964900118906
132,de,3.718642524132941
133,berg,10.280311364476402
134,als,5.060348409354168
135,hij,4.724433561079115
136,maar,4.781224216466304
137,dragen,9.398474060671628
138,kon,7.384436259295477
139,keerde,12.096363526273503
140,om,5.422677041006019
141,en,4.26959172556336
142,ging,7.592599934369724
143,weer,6.779409432012579
144,naar,5.4154008663952995
145,huis,7.107549288574226
146,Maar,4.781224216466304
147,de,3.718642524132941
148,beide,9.637054953529924
149,anderen,8.669274730678605
150,zeiden,9.50496994629047
151,wij,6.936554789464469
152,verlangen,11.064112913304479
153,van,4.564964900118906
154,het,3.7118627352719065
155,geluk,8.703396643747864
156,nog,5.515076591760519
157,iets,6.0989637586327285
158,meer,6.196825545589178
159,dan,5.449616464393709
160,enkel,9.082155445472033
161,zilver,11.518185720478021
162,En,4.26959172556336
163,zij,7.188118058451619
164,raakten,11.735598597083245
165,het,3.7118627352719065
166,niet,3.9995448077236873
167,aan,5.562664046125813
168,en,4.26959172556336
169,gingen,9.1779284159121
170,verder,8.035496637232571
171,Toen,6.8247520681282365
172,zij,7.188118058451619
173,weer,6.779409432012579
