,Word,logWF
0,un,4.318195573540433
1,ange,9.849017136447005
2,de,3.582705932005654
3,Dieu,6.969478608903592
4,descend,10.456580541715235
5,sur,5.886074810517422
6,la,4.105901541273115
7,terre,8.096681602133804
8,",",
9,prend,8.53063510942108
10,l',4.714889011681107
11,enfant,8.057744911860196
12,mort,7.7990506322498545
13,dans,5.271664534636561
14,ses,7.087871507946027
15,bras,8.712442889160632
16,",",
17,ouvre,8.766186343116297
18,ses,7.087871507946027
19,larges,12.23425795140512
20,ailes,10.803068270377336
21,",",
22,parcourt,12.88522351792877
23,tous,6.90425956173491
24,les,4.6447145469286895
25,lieux,10.360190767872675
26,que,5.607140828536769
27,l',4.714889011681107
28,enfant,8.057744911860196
29,a,4.961779252158002
30,aimés,12.34695191755403
31,",",
32,et,4.252446422149626
33,cueille,13.071029398805333
34,une,4.742521424886799
35,poignée,11.262826460852164
36,de,3.582705932005654
37,fleurs,9.406528470486538
38,.,
39,Ces,6.609471239589202
40,fleurs,9.406528470486538
41,",",
42,tous,6.90425956173491
43,deux,6.8014077097566
44,les,4.6447145469286895
45,portent,11.241594240746391
46,au,5.491893535769836
47,bon,6.989157197979427
48,Dieu,6.969478608903592
49,pour,4.853308277410842
50,qu',
51,il,4.22842491812731
52,les,4.6447145469286895
53,fasse,9.176648006561916
54,refleurir,15.684245497236706
55,là-haut,9.501865474684967
56,plus,5.408591121993928
57,belles,9.819194874984383
58,que,5.607140828536769
59,sur,5.886074810517422
60,la,4.105901541273115
61,terre,8.096681602133804
62,.,
63,Le,4.19643566288779
64,bon,6.989157197979427
65,Dieu,6.969478608903592
66,presse,9.90925039435524
67,les,4.6447145469286895
68,fleurs,9.406528470486538
69,sur,5.886074810517422
70,son,6.256245152749225
71,cœur,
72,",",
73,et,4.252446422149626
74,",",
75,celle,8.767388904008223
76,qu',
77,il,4.22842491812731
78,préfère,9.214552310637416
79,",",
80,il,4.22842491812731
81,y,5.3409949349023496
82,dépose,10.93683197802207
83,un,4.318195573540433
84,baiser,9.974528287060691
85,.,
86,Ce,5.15805238864526
87,baiser,9.974528287060691
88,lui,5.973675440707936
89,donne,7.724021598814986
90,une,4.742521424886799
91,voix,8.844233870341089
92,et,4.252446422149626
93,la,4.105901541273115
94,fait,5.798053075538171
95,se,5.775852140716172
96,mêler,11.298653796398328
97,aux,6.989922775728939
98,chœurs,
99,des,5.009375733286837
100,bienheureux,12.980968574887154
101,.,
102,»,
103,Voilà,7.129976749013575
104,ce,5.15805238864526
105,que,5.607140828536769
106,racontait,12.2140552440876
107,un,4.318195573540433
108,ange,9.849017136447005
109,de,3.582705932005654
110,Dieu,6.969478608903592
111,en,5.0717233543407865
112,emportant,13.8234931565217
113,un,4.318195573540433
114,enfant,8.057744911860196
115,mort,7.7990506322498545
116,au,5.491893535769836
117,ciel,8.760757486408503
118,",",
119,et,4.252446422149626
120,l',4.714889011681107
121,enfant,8.057744911860196
122,l',4.714889011681107
123,écoutait,12.181265421264609
124,comme,5.9661929145676025
125,en,5.0717233543407865
126,rêve,9.11908113588396
127,.,
128,Et,4.252446422149626
129,ils,5.6870496966547135
130,volaient,13.58710437845747
131,au-dessus,9.935080016732687
132,des,5.009375733286837
133,lieux,10.360190767872675
134,où,6.374421846775573
135,le,4.19643566288779
136,petit,7.365991168437861
137,avait,7.3268187244333625
138,joué,9.47206892400593
139,",",
140,sur,5.886074810517422
141,des,5.009375733286837
142,jardins,11.893583348812827
143,parsemés,18.323302826851965
144,de,3.582705932005654
145,fleurs,9.406528470486538
146,admirables,14.431482528741338
147,.,
148,«,
149,Lesquelles,11.267127542751554
150,emporterons,15.232260373493649
151,-nous,
152,pour,4.853308277410842
153,les,4.6447145469286895
154,planter,11.35916721443372
155,au,5.491893535769836
156,ciel,8.760757486408503
157,?,
158,»,
159,demanda,12.357156087728272
160,l',4.714889011681107
161,ange,9.849017136447005
162,.,
163,Près,8.819323161949875
164,d',4.832866114689927
165,eux,8.029971547110629
166,se,5.775852140716172
167,trouvait,10.832773424791254
168,un,4.318195573540433
169,rosier,15.14524899650402
170,magnifique,9.352235388119876
171,",",
172,mais,5.165755720113154
173,une,4.742521424886799
174,méchante,11.028246410389334
175,main,8.059975344233948
176,en,5.0717233543407865
177,avait,7.3268187244333625
178,brisé,10.96447192850961
179,la,4.105901541273115
180,tige,12.846839274920454
181,",",
182,de,3.582705932005654
183,sorte,9.129803472071808
184,que,5.607140828536769
185,les,4.6447145469286895
186,branches,11.890362734112784
187,chargées,13.928853672179525
188,de,3.582705932005654
189,boutons,11.305796683910708
190,à,4.309728605145128
191,peine,8.453268650575055
192,éclos,14.180168100460433
193,pendaient,14.391477194127638
194,et,4.252446422149626
195,se,5.775852140716172
196,desséchaient,17.63015564629202
197,de,3.582705932005654
198,tous,6.90425956173491
199,côtés,10.149163483422495
200,.,
201,«,
202,Pauvre,8.714656243966097
203,arbre,9.820411420146586
204,",",
205,dit,6.046767057851841
206,l',4.714889011681107
207,enfant,8.057744911860196
208,;,
209,prends,7.6508651303403905
210,-le,
211,pour,4.853308277410842
212,qu',
213,il,4.22842491812731
214,refleurisse,
215,là-haut,9.501865474684967
216,près,8.819323161949875
217,de,3.582705932005654
218,Dieu,6.969478608903592
219,.,
220,»,
221,Et,4.252446422149626
222,l',4.714889011681107
223,ange,9.849017136447005
224,prit,11.734376349318445
225,le,4.19643566288779
226,rosier,15.14524899650402
227,.,
228,Il,4.22842491812731
229,embrassa,13.928853672179525
230,l',4.714889011681107
231,enfant,8.057744911860196
232,;,
233,le,4.19643566288779
