,word,onset,offset
0,De,0.86,0.96
1,gouden,0.96,1.44
2,vogel,1.44,2.08
3,Voor,7.47,7.63
4,lange,7.63,7.91
5,tijden,7.91,8.44
6,was,8.44,8.61
7,er,8.61,8.67
8,een,8.67,8.83
9,koning,8.83,9.43
10,Hij,9.98,10.12
11,had,10.12,10.36
12,een,10.36,10.45
13,prachtige,10.45,11.09
14,tuin,11.09,11.39
15,achter,11.39,11.61
16,zijn,11.61,11.83
17,paleis,11.83,12.42
18,En,12.56,12.79
19,daarin,12.79,13.07
20,stond,13.07,13.44
21,een,13.44,13.54
22,boom,13.54,13.86
23,die,13.86,13.94
24,gouden,13.94,14.27
25,appelen,14.27,14.68
26,droeg,14.68,15.18
27,Toen,16.24,16.51
28,de,16.51,16.59
29,appelen,16.59,16.95
30,rijpten,16.95,17.51
31,werden,17.51,17.66
32,zij,17.66,17.83
33,geteld,17.83,18.67
34,Maar,18.76,18.91
35,de,18.91,18.95
36,volgende,18.95,19.45
37,morgen,19.45,19.77
38,ontbrak,19.77,20.21
39,er,20.21,20.27
40,al,20.27,20.42
41,een,20.42,20.76
42,Het,21.92,22.03
43,werd,22.03,22.2
44,de,22.2,22.28
45,koning,22.28,22.59
46,gemeld,22.59,23.1
47,En,23.1,23.28
48,hij,23.28,23.44
49,beval,23.44,23.96
50,dat,23.96,24.14
51,er,24.14,24.17
52,alle,24.17,24.4
53,nachten,24.4,24.99
54,onder,25.04,25.23
55,de,25.23,25.36
56,boom,25.36,25.6
57,zou,25.6,25.78
58,gewaakt,25.78,26.22
59,worden,26.22,26.66
60,De,27.62,27.77
61,koning,27.77,28.07
62,had,28.07,28.18
63,drie,28.18,28.43
64,zonen,28.43,28.99
65,De,29.31,29.39
66,oudste,29.39,29.77
67,zond,29.77,30.01
68,hij,30.01,30.11
69,uit,30.11,30.4
70,om,30.4,30.47
71,bij,30.47,30.58
72,de,30.58,30.68
73,boom,30.68,30.92
74,te,30.92,31.03
