11	Anderson_S01_P01_normalized.wav nl
12	Anderson_S01_P02_normalized.wav nl
13	Anderson_S01_P03_normalized.wav nl
14	Anderson_S01_P04_normalized.wav nl
21	grimm_23_1_normalized.wav nl
22	grimm_23_2_normalized.wav nl
23	grimm_23_3_normalized.wav nl
31	grimm_20_1_normalized.wav nl
32	grimm_20_2_normalized.wav nl
41	EAUV_part1_normalized.wav fr
42	EAUV_part2_normalized.wav fr
51	ANGE_part1_normalized.wav fr
61	BALL_part1_normalized.wav fr
